,English Na,Name,Population,Flag,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29
0,Brazil,巴西,212559417.0,https://www.countryflags.io/br/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,3,8,13,19,25,25,34,52,77,98,151,200,234,291,514,621,904,1128,1546,1891,2201,2433,2915,3417,3904,4256,4579,5717,6836,7910,9056,10278,11130,12056,14049,15927,17857,19638,20727,22169,23753,25262,29015,30961,34221,36925,39144,40814,43079,46195,50036,52995,59324,63854,66896,73166
1,Canada,加拿大,37742154.0,https://www.countryflags.io/ca/flat/64.png,1,0,3,0,0,4,0,0,0,5,0,0,0,7,7,7,7,7,7,8,8,8,0,0,8,0,0,0,10,11,11,12,14,16,20,24,24,30,33,48,53,60,66,77,93,107,149,198,253,343,436,595,727,923,1146,1377,1472,2091,2892,3409,4043,4760,5867,6671,7448,9017,10121,11283,12545,14022,15512,16666,17897,19279,20765,22148,23318,24384,26163,27064,28893,30670,32412,33922,35392,37382,38422,40824,42750,44364,45791,47327,48500,50026
2,United States of America,美国,331002651.0,https://www.countryflags.io/us/flat/64.png,5,0,0,0,6,6,8,9,11,0,12,0,0,0,12,13,13,14,15,15,15,15,0,0,15,0,35,35,35,53,57,60,60,63,63,77,100,122,153,232,324,445,572,704,1004,1004,1635,2084,2885,3700,4661,6420,10259,14250,19624,26997,35360,46450,55243,69194,85840,105470,124686,143101,164603,189633,216722,245658,278537,312245,337971,368449,399979,432579,467184,501615,530830,558526,583220,609696,640014,672246,706832,735366,760570,788920,826184,843937,870468,907096,940797,967585,989357,1012582
3,Germany,德国,83783942.0,https://www.countryflags.io/de/flat/64.png,0,1,4,0,5,1,10,0,12,0,0,0,14,0,14,14,16,16,16,16,16,16,0,0,16,16,16,16,16,16,19,27,48,66,117,130,196,240,349,565,687,847,1112,1239,1524,2078,3117,3117,4866,6671,7840,11312,13979,15439,20581,25279,27289,30138,35743,38124,43211,52802,58101,58101,61913,67366,73522,79696,85778,91714,95391,99225,103228,108202,113525,117658,120479,123016,130072,130072,130450,133830,137439,139897,141672,143457,145694,148046,150383,152438,154175,155193,156337,157641
4,"Congo, Rep.",刚果（布）,,https://www.countryflags.io/cg/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,4,4,4,4,4,4,19,19,19,19,22,22,41,45,45,49,49,60,60,60,0,70,70,74,117,117,143,143,143,160,160,165,186,186,200,200,200,207,207
5,Norway,挪威,5421241.0,https://www.countryflags.io/no/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,17,19,32,33,56,86,113,147,169,169,277,489,703,750,1046,1077,1331,1452,1562,1758,1939,2150,2532,2573,2796,3041,3315,3771,3981,4284,4451,4615,4848,5125,5356,5551,5686,5762,5903,6013,6157,6267,6408,6485,6547,6623,6798,6848,6937,7036,7078,7127,7191,7275,7361,7444,7493,7511,7599,7619
6,Argentina,阿根廷,45195774.0,https://www.countryflags.io/ar/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8,9,12,17,19,19,31,34,45,56,65,79,97,128,158,225,266,301,387,502,589,690,745,820,966,1054,1133,1265,1353,1451,1554,1628,1715,1795,1795,1975,2142,2208,2277,2443,2571,2669,2669,2694,2941,3031,3144,3288,3435,3607,3780,3892,4003,4127
7,Finland,芬兰,5540720.0,https://www.countryflags.io/fi/flat/64.png,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,3,3,6,6,6,7,15,15,19,30,40,40,65,155,155,224,243,272,319,359,400,450,521,626,700,792,880,880,1163,1163,1218,1313,1384,1446,1518,1615,1882,1927,2176,2308,2487,2605,2769,2905,3064,3064,3161,3237,3369,3489,3681,3783,3868,4014,4129,4284,4395,4475,4576,4695,4740
8,North Macedonia,北马其顿,2083374.0,https://www.countryflags.io/mk/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,3,3,7,7,9,9,13,13,18,18,31,35,67,67,70,136,136,136,148,177,201,219,257,259,329,329,354,430,483,555,570,570,617,663,711,828,828,854,908,974,1117,1117,1170,1207,1225,1231,1259,1300,1326,1367,1386,1399,1421
9,Uruguay,乌拉圭,3473730.0,https://www.countryflags.io/uy/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,29,50,79,94,110,135,158,158,189,217,238,238,238,309,320,338,338,369,386,386,386,415,424,456,456,465,501,512,512,512,512,502,508,517,528,535,543,549,557,563,563,606,620,625
10,New Zealand,新西兰,4822233.0,https://www.countryflags.io/nz/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,4,5,5,5,5,5,5,0,6,8,8,11,20,28,39,53,67,102,142,205,278,338,451,514,589,600,647,723,868,950,1039,911,943,969,992,992,1035,1049,1064,1072,1078,1084,1086,1094,1098,1105,1107,1113,1112,1114,1117,1142,1122,1124,1126
11,United Kingdom,英国,67886011.0,https://www.countryflags.io/gb/flat/64.png,0,0,0,0,2,2,0,0,0,0,0,0,3,0,3,8,8,9,9,9,9,9,9,9,9,0,0,0,13,13,13,15,15,20,35,36,51,51,85,116,163,206,206,319,373,460,590,798,1140,1543,1950,2626,2626,3269,3983,5018,5683,6650,8077,9529,14579,17089,19522,22141,25150,29474,33718,38168,41903,47806,47806,55242,55242,60733,65077,78991,84279,88621,93873,98476,103093,108692,114217,120067,124743,129044,133495,138078,143464,148377,152840,152840,157149,161145
12,Italy,意大利,60461826.0,https://www.countryflags.io/it/flat/64.png,0,0,0,0,2,2,0,0,0,0,0,0,3,0,3,3,3,3,3,3,3,0,0,0,0,0,20,117,230,283,374,528,653,888,1128,1694,2036,2502,3089,3927,4636,5883,7375,9172,10283,12462,15113,17660,21270,24938,29022,31506,37178,41035,47021,55218,59514,64378,70545,74386,81129,87275,93051,97689,102106,105792,110574,115895,120281,125016,129481,132810,135893,139887,143626,148217,152860,156673,159516,162488,165155,168941,172434,175925,178972,183957,183957,187327,192994,192994,195351,197675,199414,201505
13,Spain,西班牙,46754778.0,https://www.countryflags.io/es/flat/64.png,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,2,2,2,2,0,0,3,7,13,25,41,58,84,150,165,229,345,387,516,999,1648,2128,2968,4209,5232,7753,9191,11178,13716,17147,19980,24926,28572,33089,39673,47610,56188,64059,72248,78797,85195,94417,102136,110238,117710,124736,130759,135032,140510,146690,152446,157022,161852,166019,169496,172541,177633,182816,188068,191726,195944,200210,204178,208389,213024,219764,223759,207634,209465,210773,210773
14,Russia,俄罗斯,145934462.0,https://www.countryflags.io/ru/flat/64.png,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,2,0,0,2,2,2,2,0,3,8,8,10,10,10,20,28,45,47,59,63,93,147,199,253,306,306,438,495,658,840,1036,1264,1534,1836,2337,2777,3548,4149,4731,5389,6343,7497,8672,10131,11917,13584,15770,18328,21102,24490,27938,32008,36793,42853,47121,52763,57999,62773,68622,74588,80949,87147,93558,93558
15,Turkey,土耳其,84339067.0,https://www.countryflags.io/tr/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,6,18,47,98,191,359,670,947,1236,1529,1872,2433,3629,5698,7402,9217,10827,13531,15679,18135,20921,23934,27069,30217,34109,38226,42282,47029,52167,56956,61049,65111,69392,78546,78546,82329,86306,90980,95591,98674,101790,104912,107773,110130,112261,114653
16,France,法国,65273511.0,https://www.countryflags.io/fr/flat/64.png,3,0,4,5,0,6,0,0,0,0,0,0,11,0,11,11,11,11,11,11,12,12,12,12,12,0,0,0,0,12,17,18,38,57,100,130,130,212,285,577,613,949,1126,1606,1784,2281,2876,3661,4500,5423,6633,7730,9134,10995,12612,14459,16689,19856,22300,25233,29155,33414,37575,40174,44550,52128,56989,59105,64338,68605,70478,98984,78167,82048,86334,90676,93790,95403,98076,103573,106206,108847,109252,111821,112606,114657,117324,119151,120804,122577,124114,124575,128339,129859
17,Netherlands,荷兰,17134872.0,https://www.countryflags.io/nl/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,10,24,24,38,82,128,188,188,382,382,503,804,804,959,1135,1705,1705,2460,2994,3631,4204,4797,5560,6412,7431,8603,9762,10866,11750,12595,13614,14697,14697,16627,17851,17851,19580,20549,21762,23097,23097,25587,26551,27419,28153,29214,30449,31589,32655,33405,34134,34842,35729,36535,37190,37845,38245,38416,38416
18,Belgium,比利时,11589623.0,https://www.countryflags.io/be/flat/64.png,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,2,2,13,13,23,109,109,169,239,239,267,399,556,689,886,886,1243,1486,1795,2257,2815,3401,3743,4269,4937,6235,7284,9134,10836,11899,12775,13964,15348,16770,18431,19961,20814,22194,23403,24983,26667,28018,29647,30789,31119,33573,34809,36138,37183,38496,39983,40956,41889,42797,44293,45325,46134,46687,47334,47334
19,India,印度,1380004385.0,https://www.countryflags.io/in/flat/64.png,0,0,0,1,0,1,2,0,3,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,3,0,0,3,3,3,6,15,29,31,33,39,39,58,61,73,81,84,107,110,137,151,173,223,283,341,415,519,606,649,724,918,1024,1414,1251,1637,2069,2547,2902,3577,4281,4789,5274,5865,6761,7529,8447,9352,10815,11933,12759,13835,14793,16116,17656,18985,20471,21700,23452,24942,26917,28380,29974,29974
