,English Na,Name,Population,Flag,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29
0,Brazil,巴西,212559417.0,https://www.countryflags.io/br/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,127.0,127.0,127.0,127.0,127.0,14026.0,14026.0,14026.0,14026.0,14026.0,22130.0,22991.0,24325.0,25318.0,26573.0,26573.0,29160.0,30152.0,31142.0,31142.0
1,Canada,加拿大,37742154.0,https://www.countryflags.io/ca/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,10.0,11.0,11.0,11.0,14.0,14.0,112.0,183.0,202.0,345.0,345.0,345.0,345.0,1592.0,1592.0,1592.0,2321.0,2770.0,2770.0,2770.0,2770.0,2770.0,2770.0,2770.0,2770.0,2770.0,2770.0,2770.0,2770.0,9729.0,9729.0,9729.0,11843.0,12586.0,13188.0,13986.0,15202.0,15541.0,16425.0,17321.0,18268.0,19231.0
2,United States of America,美国,331002651.0,https://www.countryflags.io/us/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,48.0,74.0,106.0,121.0,147.0,176.0,178.0,178.0,354.0,619.0,713.0,2072.0,2612.0,4865.0,5896.0,7136.0,8672.0,9311.0,9920.0,15021.0,17582.0,19919.0,22539.0,24213.0,26522.0,29192.0,32314.0,42018.0,44319.0,49966.0,52772.0,56236.0,59672.0,66854.0,71011.0,73533.0,75682.0,76616.0,80937.0,99121.0,105823.0,107070.0,111587.0,115936.0
3,Germany,德国,83783942.0,https://www.countryflags.io/de/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,7.0,7.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,135.0,135.0,135.0,135.0,209.0,239.0,422.0,453.0,3290.0,3547.0,5678.0,6932.0,8481.0,8481.0,8481.0,8481.0,8481.0,8481.0,8481.0,8481.0,8481.0,8481.0,46085.0,49926.0,53913.0,57443.0,60200.0,64300.0,68200.0,72600.0,77000.0,81800.0,85400.0,88000.0,91500.0,95200.0,99400.0,103300.0,106800.0,109800.0,112000.0,114500.0,117400.0,120400.0
4,"Congo, Rep.",刚果（布）,,https://www.countryflags.io/cg/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,0.0,5.0,8.0,10.0,11.0,11.0,11.0,11.0,11.0,16.0,16.0,16.0,16.0,16.0,19.0,19.0,19.0,19.0,19.0
5,Norway,挪威,5421241.0,https://www.countryflags.io/no/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Argentina,阿根廷,45195774.0,https://www.countryflags.io/ar/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,358.0,358.0,358.0,358.0,468.0,468.0,468.0,468.0,631.0,631.0,631.0,709.0,737.0,737.0,737.0,737.0,976.0,976.0,976.0,976.0,1162.0
7,Finland,芬兰,5540720.0,https://www.countryflags.io/fi/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2500.0,2500.0,2500.0,2500.0
8,North Macedonia,北马其顿,2083374.0,https://www.countryflags.io/mk/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,23.0,30.0,30.0,35.0,35.0,41.0,41.0,41.0,44.0,86.0,98.0,139.0,139.0,164.0,179.0,200.0,224.0,272.0,301.0,337.0,374.0,500.0,553.0,589.0
9,Uruguay,乌拉圭,3473730.0,https://www.countryflags.io/uy/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,41.0,41.0,68.0,68.0,68.0,68.0,123.0,123.0,192.0,192.0,214.0,224.0,231.0,231.0,231.0,231.0,286.0,286.0,298.0,298.0,313.0,324.0,337.0,354.0,369.0,369.0,365.0,386.0,394.0
10,New Zealand,新西兰,4822233.0,https://www.countryflags.io/nz/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,241.0,282.0,317.0,317.0,422.0,471.0,546.0,628.0,728.0,770.0,816.0,816.0,912.0,974.0,1032.0,1036.0,1065.0,1095.0,1095.0,1121.0,1180.0,1214.0,1214.0
11,United Kingdom,英国,67886011.0,https://www.countryflags.io/gb/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,18.0,18.0,18.0,52.0,65.0,79.0,79.0,93.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0
12,Italy,意大利,60461826.0,https://www.countryflags.io/it/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,40.0,45.0,46.0,50.0,83.0,149.0,160.0,276.0,414.0,523.0,589.0,622.0,724.0,1004.0,1045.0,1258.0,1439.0,1966.0,2335.0,2749.0,2941.0,4025.0,4440.0,5129.0,6072.0,7024.0,7432.0,8326.0,9362.0,10361.0,10950.0,12384.0,13030.0,14620.0,15729.0,16847.0,18278.0,19758.0,20996.0,21815.0,22837.0,24392.0,26491.0,28470.0,30455.0,32534.0,34211.0,35435.0,37130.0,38092.0,40164.0,42727.0,44927.0,47055.0,51600.0,51600.0,54543.0,60498.0,60498.0,63120.0,64928.0,66624.0,68941.0
13,Spain,西班牙,46754778.0,https://www.countryflags.io/es/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,183.0,189.0,189.0,189.0,571.0,571.0,1028.0,1081.0,1081.0,1588.0,2125.0,2125.0,3355.0,3355.0,5367.0,5367.0,7015.0,12285.0,12285.0,14709.0,14709.0,14709.0,22647.0,30513.0,34219.0,38080.0,38080.0,38080.0,48021.0,48021.0,55668.0,59109.0,62391.0,64727.0,67504.0,70853.0,74797.0,74797.0,74662.0,77357.0,80587.0,82514.0,85915.0,89250.0,92355.0,95708.0,98732.0,100875.0,102548.0,102548.0
14,Russia,俄罗斯,145934462.0,https://www.countryflags.io/ru/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,8.0,8.0,16.0,16.0,17.0,17.0,29.0,38.0,45.0,49.0,64.0,66.0,121.0,190.0,235.0,281.0,333.0,355.0,406.0,494.0,580.0,698.0,795.0,1045.0,1291.0,1470.0,1694.0,1986.0,2304.0,2590.0,3057.0,3291.0,3446.0,3873.0,4420.0,4891.0,5568.0,6250.0,6767.0,7346.0,8456.0,8456.0
15,Turkey,土耳其,84339067.0,https://www.countryflags.io/tr/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,42.0,70.0,105.0,105.0,243.0,333.0,415.0,484.0,786.0,1042.0,1326.0,1582.0,1846.0,2142.0,2423.0,2965.0,3446.0,3957.0,4799.0,5674.0,8631.0,8631.0,10453.0,11976.0,13430.0,14918.0,16477.0,18491.0,21737.0,25582.0,29140.0,33791.0,38809.0
16,France,法国,65273511.0,https://www.countryflags.io/fr/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,36.0,36.0,36.0,602.0,602.0,1300.0,1587.0,1587.0,2200.0,2200.0,3201.0,3900.0,4948.0,5700.0,5700.0,7132.0,7924.0,9444.0,10935.0,12428.0,12428.0,15438.0,16183.0,17421.0,19337.0,21254.0,23206.0,24932.0,26391.0,27186.0,27718.0,28805.0,31000.0,32812.0,34420.0,35983.0,36578.0,37409.0,39181.0,40657.0,42088.0,43493.0,44594.0,44903.0,45513.0,46886.0
17,Netherlands,荷兰,17134872.0,https://www.countryflags.io/nl/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2954.0,2954.0,2954.0,2954.0,2954.0,2954.0,2954.0,2954.0,2954.0,2954.0,2954.0,2954.0,2954.0,2954.0,2954.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0
18,Belgium,比利时,11589623.0,https://www.countryflags.io/be/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,263.0,290.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,1527.0,1696.0,2132.0,2132.0,2872.0,2872.0,2872.0,2872.0,2872.0,2872.0,2872.0,2872.0,5986.0,6463.0,6707.0,6868.0,7107.0,7562.0,7961.0,8348.0,8757.0,8757.0,9002.0,9434.0,9800.0,10122.0,10417.0,10785.0,10878.0,10943.0,10943.0
19,India,印度,1380004385.0,https://www.countryflags.io/in/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,14.0,14.0,15.0,23.0,23.0,23.0,40.0,42.0,42.0,66.0,80.0,95.0,95.0,101.0,133.0,156.0,163.0,183.0,274.0,319.0,353.0,411.0,478.0,516.0,653.0,765.0,980.0,1190.0,1344.0,1515.0,1767.0,2015.0,2302.0,2842.0,3260.0,3960.0,4325.0,4814.0,5210.0,5914.0,6362.0,7027.0,7027.0
20,Portugal,葡萄牙,10196709.0,https://www.countryflags.io/pt/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,14.0,14.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,75.0,140.0,140.0,140.0,140.0,140.0,266.0,277.0,277.0,347.0,347.0,493.0,519.0,610.0,610.0,610.0,917.0,1143.0,1201.0,1228.0,1228.0,1329.0,1329.0,1389.0,1389.0
21,Peru,秘鲁,32971854.0,https://www.countryflags.io/pe/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,14.0,14.0,14.0,14.0,394.0,394.0,537.0,537.0,914.0,914.0,914.0,1231.0,1231.0,1231.0,1569.0,1569.0,1798.0,1798.0,1798.0,1798.0,1798.0,6541.0,6684.0,6811.0,6968.0,6982.0,7027.0,7422.0,7496.0,7797.0,8088.0,8425.0,9179.0
