,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,Imported current case,Imported total case,current_confirmedCount,total_curedCount,deadCount,total_confirmedCount,suspectedCount,updateTime
160,Asia,中国,China,中国,China,,,,,,,,2020-04-01
2429,Asia,中国,China,中国,China,691,806,2004,76238,3312,81554,172,2020-03-31
5129,Asia,中国,China,中国,China,,,2161,76052,3305,81518,183,2020-03-30
7150,Asia,中国,China,中国,China,,,2396,75770,3304,81470,168,2020-03-29
9285,Asia,中国,China,中国,China,,,2691,75448,3300,81439,174,2020-03-28
12200,Asia,中国,China,中国,China,,,3128,74971,3295,81394,184,2020-03-27
15942,Asia,中国,China,中国,China,,,3460,74588,3292,81340,189,2020-03-26
17500,Asia,中国,China,中国,China,,,3947,74051,3287,81285,159,2020-03-25
21286,Asia,中国,China,中国,China,,,4287,73650,3281,81218,134,2020-03-24
23466,Asia,中国,China,中国,China,,,4735,73159,3277,81171,132,2020-03-23
24928,Asia,中国,China,中国,China,,,5120,72703,3270,81093,136,2020-03-22
25965,Asia,中国,China,中国,China,,,5549,72244,3261,81054,118,2020-03-21
27220,Asia,中国,China,中国,China,,,6013,71740,3255,81008,106,2020-03-20
29046,Asia,中国,China,中国,China,,,6569,71150,3248,80967,104,2020-03-19
30948,Asia,中国,China,中国,China,,,7263,70420,3245,80928,105,2020-03-18
32877,Asia,中国,China,中国,China,,,8056,69601,3237,80894,119,2020-03-17
34196,Asia,中国,China,中国,China,,,8976,68679,3226,80881,128,2020-03-16
,Asia,中国,China,中国,China,,,9898,67749,3113,80860,134,2020-03-15
,Asia,中国,China,中国,China,,,10734,66911,3199,80844,113,2020-03-14
,Asia,中国,China,中国,China,,,12094,65541,3189,80824,115,2020-03-13
,Asia,中国,China,中国,China,,,13526,64111,3176,80813,147,2020-03-12
,Asia,中国,China,中国,China,,,14831,62793,3169,80793,253,2020-03-11
,Asia,中国,China,中国,China,,,16145,61475,3158,80778,285,2020-03-10
,Asia,中国,China,中国,China,,,17721,59897,3136,80754,349,2020-03-09
,Asia,中国,China,中国,China,,,19016,58600,3119,80735,421,2020-03-08
,Asia,中国,China,中国,China,,,20533,57065,3097,80695,458,2020-03-07
,Asia,中国,China,中国,China,,,22177,55404,3070,80651,502,2020-03-06
,Asia,中国,China,中国,China,,,23784,53726,3042,80552,285,2020-03-05
,Asia,中国,China,中国,China,,,25352,52045,3012,80409,522,2020-03-04
,Asia,中国,China,中国,China,,,27433,49856,2981,80270,520,2020-03-03
,Asia,中国,China,中国,China,,,30004,47204,2943,80151,587,2020-03-02
,Asia,中国,China,中国,China,,,32652,44462,2912,80026,715,2020-03-01
,Asia,中国,China,中国,China,,,35329,41625,2870,79824,851,2020-02-29
,Asia,中国,China,中国,China,,,37414,39002,2855,79251,1418,2020-02-28
,Asia,中国,China,中国,China,,,39919,36117,2788,78824,2308,2020-02-27
,Asia,中国,China,中国,China,,,43258,32495,2744,78497,2358,2020-02-26
,Asia,中国,China,中国,China,,,45604,29745,2715,78064,2419,2020-02-25
,Asia,中国,China,中国,China,,,47672,27323,2663,77658,2824,2020-02-24
,Asia,中国,China,中国,China,,,49824,24734,2592,77150,3434,2020-02-23
,Asia,中国,China,中国,China,,,51606,22888,2442,76936,4148,2020-02-22
,Asia,中国,China,中国,China,,,53284,20659,2345,76288,5365,2020-02-21
,Asia,中国,China,中国,China,,,54965,18264,2236,75465,5206,2020-02-20
,Asia,中国,China,中国,China,,,56303,16155,2118,74576,4922,2020-02-19
,Asia,中国,China,中国,China,,,57805,14376,2004,74185,5248,2020-02-18
,Asia,中国,China,中国,China,,,58016,12552,1868,72436,6242,2020-02-17
,Asia,中国,China,中国,China,,,57934,10844,1770,70548,7264,2020-02-16
,Asia,中国,China,中国,China,,,57416,9419,1665,68500,8228,2020-02-15
,Asia,中国,China,中国,China,,,56873,8096,1523,66492,8969,2020-02-14
,Asia,中国,China,中国,China,,,55748,6723,1380,63851,10109,2020-02-13
,Asia,中国,China,中国,China,,,52526,5911,1367,59804,13435,2020-02-12
,Asia,中国,China,中国,China,,,38800,4740,1113,44653,16067,2020-02-11
,Asia,中国,China,中国,China,,,37626,3996,1016,42638,21675,2020-02-10
,Asia,中国,China,中国,China,,,35982,3281,908,40171,23589,2020-02-09
,Asia,中国,China,中国,China,,,33738,2649,811,37198,28942,2020-02-08
,Asia,中国,China,中国,China,,,31774,2050,722,34546,27657,2020-02-07
,Asia,中国,China,中国,China,,,28985,1540,636,31161,26359,2020-02-06
,Asia,中国,China,中国,China,,,,1153,563,24702,28018,2020-02-05
,Asia,中国,China,中国,China,,,,892,490,24324,23260,2020-02-04
,Asia,中国,China,中国,China,,,,632,425,20438,23214,2020-02-03
,Asia,中国,China,中国,China,,,,475,361,17205,21558,2020-02-02
,Asia,中国,China,中国,China,,,,328,304,14380,19544,2020-02-01
,Asia,中国,China,中国,China,,,,243,259,11791,17988,2020-01-31
,Asia,中国,China,中国,China,,,,171,213,9692,15238,2020-01-30
,Asia,中国,China,中国,China,,,,124,170,7711,12167,2020-01-29
,Asia,中国,China,中国,China,,,,103,132,5974,9239,2020-01-28
,Asia,中国,China,中国,China,,,,60,106,4515,6973,2020-01-27
,Asia,中国,China,中国,China,,,,51,80,2744,5794,2020-01-26
,Asia,中国,China,中国,China,,,,49,56,1975,2684,2020-01-25
,Asia,中国,China,中国,China,,,,38,41,1287,1965,2020-01-24
,Asia,中国,China,中国,China,,,,34,25,830,1072,2020-01-23
,Asia,中国,China,中国,China,,,,,17,571,393,2020-01-22
,Asia,中国,China,中国,China,,,,,9,440,,2020-01-21
,Asia,中国,China,中国,China,,,,,0,291,54,2020-01-21
