,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
432,Asia,东帝汶,,东帝汶,,1,0.0,0,0,,,,,,,2020-04-01
4409,Asia,东帝汶,,东帝汶,,1,0.0,0,0,,,,,,,2020-03-30
9701,Asia,东帝汶,,东帝汶,,1,0.0,0,0,,,,,,,2020-03-28
11515,Asia,东帝汶,,东帝汶,,1,0.0,0,0,,,,,,,2020-03-27
15198,Asia,东帝汶,,东帝汶,,1,0.0,0,0,,,,,,,2020-03-26
18237,Asia,东帝汶,,东帝汶,,1,0.0,0,0,,,,,,,2020-03-25
19683,Asia,东帝汶,,东帝汶,,1,0.0,0,0,,,,,,,2020-03-24
23015,Asia,东帝汶,,东帝汶,,1,0.0,0,0,,,,,,,2020-03-23
25654,Asia,东帝汶,,东帝汶,,1,0.0,0,0,,,,,,,2020-03-22
27110,Asia,东帝汶,,东帝汶,,1,0.0,0,0,,,,,,,2020-03-21
