,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
160,Asia,中国,China,中国,China,82601,0.0,76239,3314,,,,,,,2020-03-31
2429,Asia,中国,China,中国,China,82505,0.0,75956,3313,,,,,,,2020-03-30
5129,Asia,中国,China,中国,China,82421,0.0,75606,3306,,,,,,,2020-03-29
7150,Asia,中国,China,中国,China,82282,0.0,75124,3301,,,,,,,2020-03-28
9285,Asia,中国,China,中国,China,82164,0.0,74743,3298,,,,,,,2020-03-27
12200,Asia,中国,China,中国,China,82034,0.0,74204,3293,,,,,,,2020-03-26
15942,Asia,中国,China,中国,China,81896,0.0,73796,3287,,,,,,,2020-03-25
17500,Asia,中国,China,中国,China,81806,0.0,73303,3283,,,,,,,2020-03-24
21286,Asia,中国,China,中国,China,81691,0.0,72848,3276,,,,,,,2020-03-23
23466,Asia,中国,China,中国,China,81566,0.0,72390,3267,,,,,,,2020-03-22
24928,Asia,中国,China,中国,China,81457,0.0,71885,3261,,,,,,,2020-03-21
25965,Asia,中国,China,中国,China,81385,0.0,71292,3255,,,,,,,2020-03-20
27220,Asia,中国,China,中国,China,81263,0.0,70561,3250,,,,,,,2020-03-19
29046,Asia,中国,China,中国,China,81202,0.0,69777,3242,,,,,,,2020-03-18
30948,Asia,中国,China,中国,China,81135,0.0,68820,3231,,,,,,,2020-03-17
32877,Asia,中国,China,中国,China,81099,0.0,67930,3218,,,,,,,2020-03-16
34196,Asia,中国,China,中国,China,81062,0.0,67037,3204,,,,,,,2020-03-15
