,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
404,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,6,0.0,0,0,,,,,,,2020-04-01
2432,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,6,0.0,0,0,,,,,,,2020-03-31
4381,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,6,0.0,0,0,,,,,,,2020-03-30
7994,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,6,0.0,0,0,,,,,,,2020-03-29
9472,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,6,0.0,0,0,,,,,,,2020-03-28
11485,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,5,0.0,0,0,,,,,,,2020-03-27
15171,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,4,0.0,0,0,,,,,,,2020-03-26
18210,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,4,0.0,0,0,,,,,,,2020-03-25
19649,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,4,0.0,0,0,,,,,,,2020-03-24
22983,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,3,0.0,0,0,,,,,,,2020-03-23
25638,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,3,0.0,0,0,,,,,,,2020-03-22
27073,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,3,0.0,0,0,,,,,,,2020-03-21
27938,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,3,0.0,0,0,,,,,,,2020-03-20
29215,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,1,0.0,0,0,,,,,,,2020-03-19
31553,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,1,0.0,0,0,,,,,,,2020-03-18
32928,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,1,0.0,0,0,,,,,,,2020-03-17
34873,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,1,0.0,0,0,,,,,,,2020-03-16
