,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
253,Europe,丹麦,Denmark,丹麦,Denmark,2860,0.0,1,90,,,,,,,2020-04-01
2172,Europe,丹麦,Denmark,丹麦,Denmark,2577,0.0,1,77,,,,,,,2020-03-31
4233,Europe,丹麦,Denmark,丹麦,Denmark,2555,0.0,1,72,,,,,,,2020-03-30
7088,Europe,丹麦,Denmark,丹麦,Denmark,2201,0.0,1,65,,,,,,,2020-03-29
9297,Europe,丹麦,Denmark,丹麦,Denmark,2046,0.0,1,52,,,,,,,2020-03-28
11199,Europe,丹麦,Denmark,丹麦,Denmark,1877,0.0,1,41,,,,,,,2020-03-27
13815,Europe,丹麦,Denmark,丹麦,Denmark,1724,0.0,1,34,,,,,,,2020-03-26
17984,Europe,丹麦,Denmark,丹麦,Denmark,1591,0.0,1,32,,,,,,,2020-03-25
19520,Europe,丹麦,Denmark,丹麦,Denmark,1460,0.0,1,24,,,,,,,2020-03-24
22853,Europe,丹麦,Denmark,丹麦,Denmark,1450,0.0,1,13,,,,,,,2020-03-23
25513,Europe,丹麦,Denmark,丹麦,Denmark,1326,0.0,1,13,,,,,,,2020-03-22
26947,Europe,丹麦,Denmark,丹麦,Denmark,1255,0.0,1,9,,,,,,,2020-03-21
27813,Europe,丹麦,Denmark,丹麦,Denmark,1226,0.0,1,6,,,,,,,2020-03-20
29072,Europe,丹麦,Denmark,丹麦,Denmark,1057,0.0,1,4,,,,,,,2020-03-19
31414,Europe,丹麦,Denmark,丹麦,Denmark,977,0.0,1,4,,,,,,,2020-03-18
33072,Europe,丹麦,Denmark,丹麦,Denmark,914,0.0,1,4,,,,,,,2020-03-17
35158,Europe,丹麦,Denmark,丹麦,Denmark,864,0.0,1,3,,,,,,,2020-03-16
36258,Europe,丹麦,Denmark,丹麦,Denmark,827,0.0,1,0,,,,,,,2020-03-15
37460,Europe,丹麦,Denmark,丹麦,Denmark,801,0.0,1,0,,,,,,,2020-03-14
38372,Europe,丹麦,Denmark,丹麦,Denmark,785,0.0,1,0,,,,,,,2020-03-13
39480,Europe,丹麦,Denmark,丹麦,Denmark,514,0.0,1,0,,,,,,,2020-03-12
40285,Europe,丹麦,Denmark,丹麦,Denmark,262,0.0,1,0,,,,,,,2020-03-11
41222,Europe,丹麦,Denmark,丹麦,Denmark,113,0.0,1,0,,,,,,,2020-03-10
42569,Europe,丹麦,Denmark,丹麦,Denmark,35,0.0,1,0,,,,,,,2020-03-09
43331,Europe,丹麦,Denmark,丹麦,Denmark,27,0.0,1,0,,,,,,,2020-03-08
44393,Europe,丹麦,Denmark,丹麦,Denmark,23,0.0,1,0,,,,,,,2020-03-07
45353,Europe,丹麦,Denmark,丹麦,Denmark,20,0.0,1,0,,,,,,,2020-03-06
46297,Europe,丹麦,Denmark,丹麦,Denmark,15,0.0,0,0,,,,,,,2020-03-05
47667,Europe,丹麦,Denmark,丹麦,Denmark,10,0.0,0,0,,,,,,,2020-03-04
48683,Europe,丹麦,Denmark,丹麦,Denmark,6,0.0,0,0,,,,,,,2020-03-03
50921,Europe,丹麦,Denmark,丹麦,Denmark,3,0.0,0,0,,,,,,,2020-03-02
51769,Europe,丹麦,Denmark,丹麦,Denmark,3,0.0,0,0,,,,,,,2020-03-01
52450,Europe,丹麦,Denmark,丹麦,Denmark,3,0.0,0,0,,,,,,,2020-02-29
54215,Europe,丹麦,Denmark,丹麦,Denmark,1,0.0,0,0,,,,,,,2020-02-28
54974,Europe,丹麦,Denmark,丹麦,Denmark,1,0.0,0,0,,,,,,,2020-02-27
