,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
76,Europe,乌克兰,Ukraine,乌克兰,Ukraine,548,0.0,8,13,,,,,,,2020-04-01
196,Europe,乌克兰,Ukraine,乌克兰,Ukraine,548,0.0,8,13,,,,,,,2020-03-31
2258,Europe,乌克兰,Ukraine,乌克兰,Ukraine,480,0.0,6,11,,,,,,,2020-03-30
5311,Europe,乌克兰,Ukraine,乌克兰,Ukraine,418,0.0,5,9,,,,,,,2020-03-29
6961,Europe,乌克兰,Ukraine,乌克兰,Ukraine,310,0.0,1,5,,,,,,,2020-03-28
9201,Europe,乌克兰,Ukraine,乌克兰,Ukraine,218,0.0,1,5,,,,,,,2020-03-27
11762,Europe,乌克兰,Ukraine,乌克兰,Ukraine,156,0.0,1,5,,,,,,,2020-03-26
15854,Europe,乌克兰,Ukraine,乌克兰,Ukraine,113,0.0,1,4,,,,,,,2020-03-25
17473,Europe,乌克兰,Ukraine,乌克兰,Ukraine,97,0.0,1,3,,,,,,,2020-03-24
20913,Europe,乌克兰,Ukraine,乌克兰,Ukraine,73,0.0,1,3,,,,,,,2020-03-23
23580,Europe,乌克兰,Ukraine,乌克兰,Ukraine,47,0.0,0,3,,,,,,,2020-03-22
25016,Europe,乌克兰,Ukraine,乌克兰,Ukraine,41,0.0,0,3,,,,,,,2020-03-21
25890,Europe,乌克兰,Ukraine,乌克兰,Ukraine,26,0.0,0,3,,,,,,,2020-03-20
27148,Europe,乌克兰,Ukraine,乌克兰,Ukraine,16,0.0,0,2,,,,,,,2020-03-19
29489,Europe,乌克兰,Ukraine,乌克兰,Ukraine,14,0.0,0,2,,,,,,,2020-03-18
31160,Europe,乌克兰,Ukraine,乌克兰,Ukraine,7,0.0,0,2,,,,,,,2020-03-17
33239,Europe,乌克兰,Ukraine,乌克兰,Ukraine,3,0.0,0,0,,,,,,,2020-03-16
34334,Europe,乌克兰,Ukraine,乌克兰,Ukraine,3,0.0,0,0,,,,,,,2020-03-15
35807,Europe,乌克兰,Ukraine,乌克兰,Ukraine,3,0.0,0,0,,,,,,,2020-03-14
36608,Europe,乌克兰,Ukraine,乌克兰,Ukraine,3,0.0,0,0,,,,,,,2020-03-13
37870,Europe,乌克兰,Ukraine,乌克兰,Ukraine,1,0.0,0,0,,,,,,,2020-03-12
39156,Europe,乌克兰,Ukraine,乌克兰,Ukraine,1,0.0,0,0,,,,,,,2020-03-11
39326,Europe,乌克兰,Ukraine,乌克兰,Ukraine,1,0.0,0,0,,,,,,,2020-03-10
44066,Europe,乌克兰,Ukraine,乌克兰,Ukraine,1,0.0,0,0,,,,,,,2020-03-06
44976,Europe,乌克兰,Ukraine,乌克兰,Ukraine,1,0.0,0,0,,,,,,,2020-03-05
45893,Europe,乌克兰,Ukraine,乌克兰,Ukraine,1,0.0,0,0,,,,,,,2020-03-04
46678,Europe,乌克兰,Ukraine,乌克兰,Ukraine,1,0.0,0,0,,,,,,,2020-03-03
