,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
85,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,167,0.0,7,2,,,,,,,2020-04-01
132,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,167,0.0,7,2,,,,,,,2020-03-31
2165,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,149,0.0,7,2,,,,,,,2020-03-30
5245,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,133,0.0,0,2,,,,,,,2020-03-29
6987,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,104,0.0,0,2,,,,,,,2020-03-28
9412,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,83,0.0,0,0,,,,,,,2020-03-27
11922,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,65,0.0,0,0,,,,,,,2020-03-26
16144,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,55,0.0,0,0,,,,,,,2020-03-25
17591,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,50,0.0,0,0,,,,,,,2020-03-24
20924,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,43,0.0,0,0,,,,,,,2020-03-23
23443,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,43,0.0,0,0,,,,,,,2020-03-22
25017,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,37,0.0,0,0,,,,,,,2020-03-21
25883,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,33,0.0,0,0,,,,,,,2020-03-20
27143,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,23,0.0,0,0,,,,,,,2020-03-19
29011,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,15,0.0,0,0,,,,,,,2020-03-18
30898,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,10,0.0,0,0,,,,,,,2020-03-17
33279,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,1,0.0,0,0,,,,,,,2020-03-16
