,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
357,Africa,乌干达,Uganda,乌干达,Uganda,44,0.0,0,0,,,,,,,2020-04-01
2394,Africa,乌干达,Uganda,乌干达,Uganda,33,0.0,0,0,,,,,,,2020-03-31
4339,Africa,乌干达,Uganda,乌干达,Uganda,33,0.0,0,0,,,,,,,2020-03-30
7957,Africa,乌干达,Uganda,乌干达,Uganda,30,0.0,0,0,,,,,,,2020-03-29
9460,Africa,乌干达,Uganda,乌干达,Uganda,23,0.0,0,0,,,,,,,2020-03-28
11457,Africa,乌干达,Uganda,乌干达,Uganda,18,0.0,0,0,,,,,,,2020-03-27
13964,Africa,乌干达,Uganda,乌干达,Uganda,14,0.0,0,0,,,,,,,2020-03-26
18049,Africa,乌干达,Uganda,乌干达,Uganda,14,0.0,0,0,,,,,,,2020-03-25
19635,Africa,乌干达,Uganda,乌干达,Uganda,9,0.0,0,0,,,,,,,2020-03-24
23016,Africa,乌干达,Uganda,乌干达,Uganda,1,0.0,0,0,,,,,,,2020-03-23
25655,Africa,乌干达,Uganda,乌干达,Uganda,1,0.0,0,0,,,,,,,2020-03-22
