,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
9,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,320,0.0,6,1,,,,,,,2020-04-01
211,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,320,0.0,6,1,,,,,,,2020-03-31
2152,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,309,0.0,6,1,,,,,,,2020-03-30
5325,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,238,0.0,6,0,,,,,,,2020-03-29
6966,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,238,0.0,6,0,,,,,,,2020-03-28
9198,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,238,0.0,6,0,,,,,,,2020-03-27
11800,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,217,0.0,6,0,,,,,,,2020-03-26
15839,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,189,0.0,0,0,,,,,,,2020-03-25
17555,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,158,0.0,0,0,,,,,,,2020-03-24
20886,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,158,0.0,0,0,,,,,,,2020-03-23
23550,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,135,0.0,0,0,,,,,,,2020-03-22
24987,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,110,0.0,0,0,,,,,,,2020-03-21
25852,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,94,0.0,0,0,,,,,,,2020-03-20
27111,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,79,0.0,0,0,,,,,,,2020-03-19
29000,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,50,0.0,0,0,,,,,,,2020-03-18
30886,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,29,0.0,0,0,,,,,,,2020-03-17
33229,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,6,0.0,0,0,,,,,,,2020-03-16
34328,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,6,0.0,0,0,,,,,,,2020-03-15
35433,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,4,0.0,0,0,,,,,,,2020-03-14
