,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
429,Africa,乍得,Chad,乍得,Chad,5,0.0,0,0,,,,,,,2020-03-31
2378,Africa,乍得,Chad,乍得,Chad,5,0.0,0,0,,,,,,,2020-03-30
5992,Africa,乍得,Chad,乍得,Chad,5,0.0,0,0,,,,,,,2020-03-29
7466,Africa,乍得,Chad,乍得,Chad,5,0.0,0,0,,,,,,,2020-03-28
9493,Africa,乍得,Chad,乍得,Chad,3,0.0,0,0,,,,,,,2020-03-27
11983,Africa,乍得,Chad,乍得,Chad,3,0.0,0,0,,,,,,,2020-03-26
16211,Africa,乍得,Chad,乍得,Chad,3,0.0,0,0,,,,,,,2020-03-25
17673,Africa,乍得,Chad,乍得,Chad,1,0.0,0,0,,,,,,,2020-03-24
21005,Africa,乍得,Chad,乍得,Chad,1,0.0,0,0,,,,,,,2020-03-23
23644,Africa,乍得,Chad,乍得,Chad,1,0.0,0,0,,,,,,,2020-03-22
25100,Africa,乍得,Chad,乍得,Chad,1,0.0,0,0,,,,,,,2020-03-21
