,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
39,Asia,伊拉克,Iraq,伊拉克,Iraq,630,0.0,152,46,,,,,,,2020-04-01
203,Asia,伊拉克,Iraq,伊拉克,Iraq,630,0.0,152,46,,,,,,,2020-03-31
2265,Asia,伊拉克,Iraq,伊拉克,Iraq,547,0.0,143,42,,,,,,,2020-03-30
5317,Asia,伊拉克,Iraq,伊拉克,Iraq,547,0.0,143,42,,,,,,,2020-03-29
7296,Asia,伊拉克,Iraq,伊拉克,Iraq,506,0.0,131,42,,,,,,,2020-03-28
9221,Asia,伊拉克,Iraq,伊拉克,Iraq,458,0.0,122,40,,,,,,,2020-03-27
11819,Asia,伊拉克,Iraq,伊拉克,Iraq,382,0.0,107,36,,,,,,,2020-03-26
16010,Asia,伊拉克,Iraq,伊拉克,Iraq,316,0.0,75,27,,,,,,,2020-03-25
17549,Asia,伊拉克,Iraq,伊拉克,Iraq,266,0.0,62,23,,,,,,,2020-03-24
20887,Asia,伊拉克,Iraq,伊拉克,Iraq,233,0.0,57,20,,,,,,,2020-03-23
23548,Asia,伊拉克,Iraq,伊拉克,Iraq,214,0.0,49,17,,,,,,,2020-03-22
24979,Asia,伊拉克,Iraq,伊拉克,Iraq,208,0.0,49,17,,,,,,,2020-03-21
25844,Asia,伊拉克,Iraq,伊拉克,Iraq,192,0.0,49,13,,,,,,,2020-03-20
27100,Asia,伊拉克,Iraq,伊拉克,Iraq,177,0.0,49,12,,,,,,,2020-03-19
28956,Asia,伊拉克,Iraq,伊拉克,Iraq,164,0.0,43,12,,,,,,,2020-03-18
30822,Asia,伊拉克,Iraq,伊拉克,Iraq,154,0.0,41,11,,,,,,,2020-03-17
33178,Asia,伊拉克,Iraq,伊拉克,Iraq,124,0.0,24,9,,,,,,,2020-03-16
34280,Asia,伊拉克,Iraq,伊拉克,Iraq,110,0.0,24,9,,,,,,,2020-03-15
35476,Asia,伊拉克,Iraq,伊拉克,Iraq,93,0.0,24,9,,,,,,,2020-03-14
36561,Asia,伊拉克,Iraq,伊拉克,Iraq,83,0.0,24,8,,,,,,,2020-03-13
37500,Asia,伊拉克,Iraq,伊拉克,Iraq,68,0.0,15,8,,,,,,,2020-03-12
38285,Asia,伊拉克,Iraq,伊拉克,Iraq,71,0.0,9,7,,,,,,,2020-03-11
39263,Asia,伊拉克,Iraq,伊拉克,Iraq,67,0.0,9,7,,,,,,,2020-03-10
40555,Asia,伊拉克,Iraq,伊拉克,Iraq,61,0.0,0,6,,,,,,,2020-03-09
41317,Asia,伊拉克,Iraq,伊拉克,Iraq,54,0.0,0,4,,,,,,,2020-03-08
42379,Asia,伊拉克,Iraq,伊拉克,Iraq,46,0.0,0,4,,,,,,,2020-03-07
43338,Asia,伊拉克,Iraq,伊拉克,Iraq,38,0.0,0,2,,,,,,,2020-03-06
44461,Asia,伊拉克,Iraq,伊拉克,Iraq,32,0.0,0,2,,,,,,,2020-03-05
45647,Asia,伊拉克,Iraq,伊拉克,Iraq,32,0.0,0,1,,,,,,,2020-03-04
47388,Asia,伊拉克,Iraq,伊拉克,Iraq,19,0.0,0,0,,,,,,,2020-03-03
48029,Asia,伊拉克,Iraq,伊拉克,Iraq,19,0.0,0,0,,,,,,,2020-03-02
49746,Asia,伊拉克,Iraq,伊拉克,Iraq,13,0.0,0,0,,,,,,,2020-03-01
50596,Asia,伊拉克,Iraq,伊拉克,Iraq,8,0.0,0,0,,,,,,,2020-02-29
52191,Asia,伊拉克,Iraq,伊拉克,Iraq,7,0.0,0,0,,,,,,,2020-02-28
52952,Asia,伊拉克,Iraq,伊拉克,Iraq,6,0.0,0,0,,,,,,,2020-02-27
54866,Asia,伊拉克,Iraq,伊拉克,Iraq,1,0.0,0,0,,,,,,,2020-02-26
56649,Asia,伊拉克,Iraq,伊拉克,Iraq,1,0.0,0,0,,,,,,,2020-02-25
57411,Asia,伊拉克,Iraq,伊拉克,Iraq,1,0.0,0,0,,,,,,,2020-02-24
57828,Asia,伊拉克,Iraq,伊拉克,Iraq,1,0.0,0,0,,,,,,,2020-02-23
