,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
236,Asia,伊朗,Iran,伊朗,Iran,47593,0.0,15473,3036,,,,,,,2020-04-01
2147,Asia,伊朗,Iran,伊朗,Iran,44606,0.0,14656,2898,,,,,,,2020-03-31
4216,Asia,伊朗,Iran,伊朗,Iran,41495,0.0,12391,2640,,,,,,,2020-03-30
7223,Asia,伊朗,Iran,伊朗,Iran,38309,0.0,12391,2640,,,,,,,2020-03-29
9343,Asia,伊朗,Iran,伊朗,Iran,35408,0.0,11679,2517,,,,,,,2020-03-28
11328,Asia,伊朗,Iran,伊朗,Iran,32332,0.0,11133,2378,,,,,,,2020-03-27
13836,Asia,伊朗,Iran,伊朗,Iran,29406,0.0,10457,2234,,,,,,,2020-03-26
18058,Asia,伊朗,Iran,伊朗,Iran,27017,0.0,9625,2077,,,,,,,2020-03-25
19504,Asia,伊朗,Iran,伊朗,Iran,24811,0.0,8913,1934,,,,,,,2020-03-24
22840,Asia,伊朗,Iran,伊朗,Iran,23049,0.0,7913,1812,,,,,,,2020-03-23
25504,Asia,伊朗,Iran,伊朗,Iran,21638,0.0,7913,1685,,,,,,,2020-03-22
26935,Asia,伊朗,Iran,伊朗,Iran,20610,0.0,7635,1556,,,,,,,2020-03-21
27803,Asia,伊朗,Iran,伊朗,Iran,19644,0.0,6745,1433,,,,,,,2020-03-20
29061,Asia,伊朗,Iran,伊朗,Iran,18407,0.0,5979,1284,,,,,,,2020-03-19
30970,Asia,伊朗,Iran,伊朗,Iran,17361,0.0,5710,1135,,,,,,,2020-03-18
32810,Asia,伊朗,Iran,伊朗,Iran,16169,0.0,5389,988,,,,,,,2020-03-17
34861,Asia,伊朗,Iran,伊朗,Iran,14991,0.0,4996,853,,,,,,,2020-03-16
36247,Asia,伊朗,Iran,伊朗,Iran,13938,0.0,4590,724,,,,,,,2020-03-15
37387,Asia,伊朗,Iran,伊朗,Iran,12729,0.0,3529,514,,,,,,,2020-03-14
38336,Asia,伊朗,Iran,伊朗,Iran,11364,0.0,3529,514,,,,,,,2020-03-13
39255,Asia,伊朗,Iran,伊朗,Iran,10075,0.0,3276,429,,,,,,,2020-03-12
40257,Asia,伊朗,Iran,伊朗,Iran,9000,0.0,2959,354,,,,,,,2020-03-11
41249,Asia,伊朗,Iran,伊朗,Iran,8042,0.0,2731,291,,,,,,,2020-03-10
42491,Asia,伊朗,Iran,伊朗,Iran,7161,0.0,2194,237,,,,,,,2020-03-09
43253,Asia,伊朗,Iran,伊朗,Iran,6566,0.0,2134,194,,,,,,,2020-03-08
44336,Asia,伊朗,Iran,伊朗,Iran,5823,0.0,1669,145,,,,,,,2020-03-07
45335,Asia,伊朗,Iran,伊朗,Iran,4747,0.0,913,124,,,,,,,2020-03-06
46875,Asia,伊朗,Iran,伊朗,Iran,2922,0.0,552,92,,,,,,,2020-03-05
47644,Asia,伊朗,Iran,伊朗,Iran,2922,0.0,552,92,,,,,,,2020-03-04
48627,Asia,伊朗,Iran,伊朗,Iran,2336,0.0,435,77,,,,,,,2020-03-03
49899,Asia,伊朗,Iran,伊朗,Iran,1501,0.0,175,66,,,,,,,2020-03-02
51210,Asia,伊朗,Iran,伊朗,Iran,978,0.0,175,54,,,,,,,2020-03-01
52588,Asia,伊朗,Iran,伊朗,Iran,593,0.0,123,43,,,,,,,2020-02-29
54187,Asia,伊朗,Iran,伊朗,Iran,270,0.0,49,26,,,,,,,2020-02-28
54951,Asia,伊朗,Iran,伊朗,Iran,245,0.0,49,26,,,,,,,2020-02-27
56078,Asia,伊朗,Iran,伊朗,Iran,139,0.0,0,19,,,,,,,2020-02-26
57403,Asia,伊朗,Iran,伊朗,Iran,95,0.0,0,16,,,,,,,2020-02-25
58923,Asia,伊朗,Iran,伊朗,Iran,61,0.0,0,12,,,,,,,2020-02-24
59803,Asia,伊朗,Iran,伊朗,Iran,43,0.0,0,8,,,,,,,2020-02-23
61831,Asia,伊朗,Iran,伊朗,Iran,28,0.0,0,5,,,,,,,2020-02-22
63201,Asia,伊朗,Iran,伊朗,Iran,18,0.0,0,4,,,,,,,2020-02-21
64935,Asia,伊朗,Iran,伊朗,Iran,2,0.0,0,2,,,,,,,2020-02-20
