,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
8066,North America,伯利兹,Belize,伯利兹,Belize,18,0.0,0,2,,,,,,,2020-04-23
10700,North America,伯利兹,Belize,伯利兹,Belize,18,0.0,0,2,,,,,,,2020-04-22
11872,North America,伯利兹,Belize,伯利兹,Belize,18,0.0,0,2,,,,,,,2020-04-21
12663,North America,伯利兹,Belize,伯利兹,Belize,18,0.0,0,2,,,,,,,2020-04-20
16382,North America,伯利兹,Belize,伯利兹,Belize,18,0.0,0,2,,,,,,,2020-04-17
17879,North America,伯利兹,Belize,伯利兹,Belize,18,0.0,0,2,,,,,,,2020-04-16
19221,North America,伯利兹,Belize,伯利兹,Belize,14,0.0,0,2,,,,,,,2020-04-15
21003,North America,伯利兹,Belize,伯利兹,Belize,13,0.0,0,2,,,,,,,2020-04-14
22289,North America,伯利兹,Belize,伯利兹,Belize,10,0.0,0,2,,,,,,,2020-04-13
23389,North America,伯利兹,Belize,伯利兹,Belize,10,0.0,0,1,,,,,,,2020-04-12
24862,North America,伯利兹,Belize,伯利兹,Belize,9,0.0,0,1,,,,,,,2020-04-11
26399,North America,伯利兹,Belize,伯利兹,Belize,8,0.0,0,1,,,,,,,2020-04-10
27631,North America,伯利兹,Belize,伯利兹,Belize,7,0.0,0,1,,,,,,,2020-04-09
29560,North America,伯利兹,Belize,伯利兹,Belize,7,0.0,0,1,,,,,,,2020-04-08
31061,North America,伯利兹,Belize,伯利兹,Belize,5,0.0,0,0,,,,,,,2020-04-07
33549,North America,伯利兹,Belize,伯利兹,Belize,4,0.0,0,0,,,,,,,2020-04-06
35068,North America,伯利兹,Belize,伯利兹,Belize,3,0.0,0,0,,,,,,,2020-04-05
38313,North America,伯利兹,Belize,伯利兹,Belize,3,0.0,0,0,,,,,,,2020-04-03
40998,North America,伯利兹,Belize,伯利兹,Belize,3,0.0,0,0,,,,,,,2020-04-02
42331,North America,伯利兹,Belize,伯利兹,Belize,3,0.0,0,0,,,,,,,2020-04-01
45071,North America,伯利兹,Belize,伯利兹,Belize,2,0.0,0,0,,,,,,,2020-03-31
46307,North America,伯利兹,Belize,伯利兹,Belize,2,0.0,0,0,,,,,,,2020-03-30
49916,North America,伯利兹,Belize,伯利兹,Belize,2,0.0,0,0,,,,,,,2020-03-29
51599,North America,伯利兹,Belize,伯利兹,Belize,2,0.0,0,0,,,,,,,2020-03-28
53416,North America,伯利兹,Belize,伯利兹,Belize,2,0.0,0,0,,,,,,,2020-03-27
57107,North America,伯利兹,Belize,伯利兹,Belize,1,0.0,0,0,,,,,,,2020-03-26
60148,North America,伯利兹,Belize,伯利兹,Belize,1,0.0,0,0,,,,,,,2020-03-25
61595,North America,伯利兹,Belize,伯利兹,Belize,1,0.0,0,0,,,,,,,2020-03-24
