,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
433,Africa,佛得角,,佛得角,,5,0.0,1,1,,,,,,,2020-03-31
2384,Africa,佛得角,,佛得角,,5,0.0,1,1,,,,,,,2020-03-30
5998,Africa,佛得角,,佛得角,,5,0.0,1,1,,,,,,,2020-03-29
6993,Africa,佛得角,,佛得角,,5,0.0,1,1,,,,,,,2020-03-28
9504,Africa,佛得角,,佛得角,,3,0.0,1,1,,,,,,,2020-03-27
11988,Africa,佛得角,,佛得角,,3,0.0,1,0,,,,,,,2020-03-26
16213,Africa,佛得角,,佛得角,,3,0.0,0,0,,,,,,,2020-03-25
17648,Africa,佛得角,,佛得角,,3,0.0,0,0,,,,,,,2020-03-24
20979,Africa,佛得角,,佛得角,,3,0.0,0,0,,,,,,,2020-03-23
23647,Africa,佛得角,,佛得角,,1,0.0,0,0,,,,,,,2020-03-22
