,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
139,Europe,俄罗斯,Russia,1264,0.0,49,4,2020-03-29
725,Europe,俄罗斯,Russia,1264,0.0,49,4,2020-03-28
3028,Europe,俄罗斯,Russia,1036,0.0,45,3,2020-03-27
5558,Europe,俄罗斯,Russia,840,0.0,38,2,2020-03-26
9603,Europe,俄罗斯,Russia,658,0.0,29,1,2020-03-25
11320,Europe,俄罗斯,Russia,495,0.0,17,1,2020-03-24
14654,Europe,俄罗斯,Russia,438,0.0,17,1,2020-03-23
17324,Europe,俄罗斯,Russia,306,0.0,16,1,2020-03-22
18646,Europe,俄罗斯,Russia,306,0.0,16,1,2020-03-21
19623,Europe,俄罗斯,Russia,253,0.0,8,1,2020-03-20
20881,Europe,俄罗斯,Russia,199,0.0,8,1,2020-03-19
22776,Europe,俄罗斯,Russia,147,0.0,5,0,2020-03-18
24887,Europe,俄罗斯,Russia,93,0.0,3,0,2020-03-17
26976,Europe,俄罗斯,Russia,63,0.0,3,0,2020-03-16
28076,Europe,俄罗斯,Russia,59,0.0,3,0,2020-03-15
29205,Europe,俄罗斯,Russia,47,0.0,3,0,2020-03-14
30106,Europe,俄罗斯,Russia,45,0.0,3,0,2020-03-13
31298,Europe,俄罗斯,Russia,28,0.0,3,0,2020-03-12
32094,Europe,俄罗斯,Russia,20,0.0,3,0,2020-03-11
33085,Europe,俄罗斯,Russia,10,0.0,3,0,2020-03-10
34605,Europe,俄罗斯,Russia,10,0.0,3,0,2020-03-09
35127,Europe,俄罗斯,Russia,10,0.0,3,0,2020-03-08
36191,Europe,俄罗斯,Russia,8,0.0,2,0,2020-03-07
36906,Europe,俄罗斯,Russia,8,0.0,2,0,2020-03-06
38098,Europe,俄罗斯,Russia,3,0.0,2,0,2020-03-05
41230,Europe,俄罗斯,Russia,2,0.0,2,0,2020-03-03
42730,Europe,俄罗斯,Russia,2,0.0,2,0,2020-03-02
43576,Europe,俄罗斯,Russia,2,0.0,2,0,2020-03-01
44420,Europe,俄罗斯,Russia,2,0.0,2,0,2020-02-29
48668,Europe,俄罗斯,Russia,2,0.0,2,0,2020-02-26
57955,Europe,俄罗斯,Russia,2,0.0,2,0,2020-02-20
63750,Europe,俄罗斯,Russia,2,0.0,2,0,2020-02-17
63844,Europe,俄罗斯,Russia,2,0.0,2,0,2020-02-16
65766,Europe,俄罗斯,Russia,2,0.0,2,0,2020-02-15
67742,Europe,俄罗斯,Russia,2,0.0,2,0,2020-02-14
70020,Europe,俄罗斯,Russia,2,0.0,0,0,2020-02-13
72150,Europe,俄罗斯,Russia,2,0.0,0,0,2020-02-12
74452,Europe,俄罗斯,Russia,2,0.0,0,0,2020-02-11
76352,Europe,俄罗斯,Russia,2,0.0,0,0,2020-02-10
97687,Europe,俄罗斯,Russia,2,0.0,0,0,2020-02-01
97774,,俄罗斯,Russia,2,0.0,0,0,2020-01-31
