,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
72,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,1387,0.0,197,58,,,,,,,2020-04-29
988,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,1387,0.0,197,58,,,,,,,2020-04-28
2434,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,1290,0.0,197,55,,,,,,,2020-04-27
3410,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,1234,0.0,197,54,,,,,,,2020-04-26
4708,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,1188,0.0,153,54,,,,,,,2020-04-25
6383,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,1188,0.0,153,54,,,,,,,2020-04-24
7814,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,1081,0.0,153,49,,,,,,,2020-04-23
9163,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,1015,0.0,153,47,,,,,,,2020-04-22
10810,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,915,0.0,153,43,,,,,,,2020-04-21
12235,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,878,0.0,153,42,,,,,,,2020-04-20
13513,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,865,0.0,153,41,,,,,,,2020-04-19
14590,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,825,0.0,3,38,,,,,,,2020-04-18
15872,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,825,0.0,3,38,,,,,,,2020-04-17
17598,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,800,0.0,3,38,,,,,,,2020-04-16
18902,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,735,0.0,3,36,,,,,,,2020-04-15
20495,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,713,0.0,3,35,,,,,,,2020-04-14
22070,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,675,0.0,3,29,,,,,,,2020-04-13
23087,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,669,0.0,3,28,,,,,,,2020-04-12
24636,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,648,0.0,3,24,,,,,,,2020-04-11
26145,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,635,0.0,3,24,,,,,,,2020-04-10
27408,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,593,0.0,3,23,,,,,,,2020-04-09
29201,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,577,0.0,3,22,,,,,,,2020-04-08
30965,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,549,0.0,3,20,,,,,,,2020-04-07
32906,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,531,0.0,3,20,,,,,,,2020-04-06
