,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
214,Oceania,关岛,Guam,51,0.0,0,1,2020-03-29
1232,Oceania,关岛,Guam,45,0.0,0,1,2020-03-28
3222,Oceania,关岛,Guam,37,0.0,0,1,2020-03-27
5729,Oceania,关岛,Guam,32,0.0,0,1,2020-03-26
9949,Oceania,关岛,Guam,29,0.0,0,1,2020-03-25
11393,Oceania,关岛,Guam,27,0.0,0,1,2020-03-24
14742,Oceania,关岛,Guam,15,0.0,0,1,2020-03-23
17402,Oceania,关岛,Guam,14,0.0,0,1,2020-03-22
18832,Oceania,关岛,Guam,12,0.0,0,0,2020-03-21
19713,Oceania,关岛,Guam,5,0.0,0,0,2020-03-20
20974,Oceania,关岛,Guam,3,0.0,0,0,2020-03-19
22811,Oceania,关岛,Guam,3,0.0,0,0,2020-03-18
