,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
1692,Africa,冈比亚,Gambia,冈比亚,Gambia,10,0.0,2,1,,,,,,,2020-04-28
4349,Africa,冈比亚,Gambia,冈比亚,Gambia,10,0.0,2,1,,,,,,,2020-04-26
5017,Africa,冈比亚,Gambia,冈比亚,Gambia,10,0.0,2,1,,,,,,,2020-04-25
8082,Africa,冈比亚,Gambia,冈比亚,Gambia,10,0.0,2,1,,,,,,,2020-04-23
9262,Africa,冈比亚,Gambia,冈比亚,Gambia,10,0.0,2,1,,,,,,,2020-04-22
11891,Africa,冈比亚,Gambia,冈比亚,Gambia,9,0.0,2,1,,,,,,,2020-04-21
12683,Africa,冈比亚,Gambia,冈比亚,Gambia,9,0.0,2,1,,,,,,,2020-04-20
16401,Africa,冈比亚,Gambia,冈比亚,Gambia,9,0.0,2,1,,,,,,,2020-04-17
20261,Africa,冈比亚,Gambia,冈比亚,Gambia,9,0.0,2,1,,,,,,,2020-04-15
21011,Africa,冈比亚,Gambia,冈比亚,Gambia,9,0.0,2,1,,,,,,,2020-04-14
22291,Africa,冈比亚,Gambia,冈比亚,Gambia,9,0.0,2,1,,,,,,,2020-04-13
23153,Africa,冈比亚,Gambia,冈比亚,Gambia,9,0.0,2,1,,,,,,,2020-04-12
26684,Africa,冈比亚,Gambia,冈比亚,Gambia,4,0.0,0,1,,,,,,,2020-04-10
35065,Africa,冈比亚,Gambia,冈比亚,Gambia,4,0.0,0,1,,,,,,,2020-04-05
39255,Africa,冈比亚,Gambia,冈比亚,Gambia,4,0.0,0,1,,,,,,,2020-04-03
40995,Africa,冈比亚,Gambia,冈比亚,Gambia,4,0.0,0,1,,,,,,,2020-04-02
42327,Africa,冈比亚,Gambia,冈比亚,Gambia,4,0.0,0,1,,,,,,,2020-04-01
44349,Africa,冈比亚,Gambia,冈比亚,Gambia,4,0.0,0,1,,,,,,,2020-03-31
46300,Africa,冈比亚,Gambia,冈比亚,Gambia,4,0.0,0,1,,,,,,,2020-03-30
51596,Africa,冈比亚,Gambia,冈比亚,Gambia,3,0.0,0,1,,,,,,,2020-03-28
53411,Africa,冈比亚,Gambia,冈比亚,Gambia,3,0.0,0,1,,,,,,,2020-03-27
55901,Africa,冈比亚,Gambia,冈比亚,Gambia,3,0.0,0,1,,,,,,,2020-03-26
60132,Africa,冈比亚,Gambia,冈比亚,Gambia,3,0.0,0,1,,,,,,,2020-03-25
61585,Africa,冈比亚,Gambia,冈比亚,Gambia,1,0.0,0,0,,,,,,,2020-03-24
64901,Africa,冈比亚,Gambia,冈比亚,Gambia,1,0.0,0,0,,,,,,,2020-03-23
67921,Africa,冈比亚,Gambia,冈比亚,Gambia,1,0.0,0,0,,,,,,,2020-03-22
68992,Africa,冈比亚,Gambia,冈比亚,Gambia,1,0.0,0,0,,,,,,,2020-03-21
69851,Africa,冈比亚,Gambia,冈比亚,Gambia,1,0.0,0,0,,,,,,,2020-03-20
71109,Africa,冈比亚,Gambia,冈比亚,Gambia,1,0.0,0,0,,,,,,,2020-03-19
73449,Africa,冈比亚,Gambia,冈比亚,Gambia,1,0.0,0,0,,,,,,,2020-03-18
