,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
147,Europe,冰岛,Iceland,963,0.0,97,2,2020-03-29
733,Europe,冰岛,Iceland,890,0.0,82,2,2020-03-28
3143,Europe,冰岛,Iceland,802,0.0,56,2,2020-03-27
5559,Europe,冰岛,Iceland,739,0.0,0,2,2020-03-26
9602,Europe,冰岛,Iceland,648,0.0,0,2,2020-03-25
11316,Europe,冰岛,Iceland,588,0.0,0,1,2020-03-24
14649,Europe,冰岛,Iceland,568,0.0,0,1,2020-03-23
17313,Europe,冰岛,Iceland,473,0.0,0,1,2020-03-22
18745,Europe,冰岛,Iceland,409,0.0,0,0,2020-03-21
19613,Europe,冰岛,Iceland,330,0.0,0,0,2020-03-20
20873,Europe,冰岛,Iceland,250,0.0,0,0,2020-03-19
23211,Europe,冰岛,Iceland,220,0.0,0,0,2020-03-18
24871,Europe,冰岛,Iceland,180,0.0,0,0,2020-03-17
26955,Europe,冰岛,Iceland,177,0.0,0,0,2020-03-16
28054,Europe,冰岛,Iceland,156,0.0,0,0,2020-03-15
29255,Europe,冰岛,Iceland,128,0.0,0,0,2020-03-14
30336,Europe,冰岛,Iceland,109,0.0,0,0,2020-03-13
31279,Europe,冰岛,Iceland,90,0.0,0,0,2020-03-12
32072,Europe,冰岛,Iceland,69,0.0,0,0,2020-03-11
33050,Europe,冰岛,Iceland,60,0.0,0,0,2020-03-10
34268,Europe,冰岛,Iceland,58,0.0,0,0,2020-03-09
35109,Europe,冰岛,Iceland,50,0.0,0,0,2020-03-08
36169,Europe,冰岛,Iceland,45,0.0,0,0,2020-03-07
37131,Europe,冰岛,Iceland,34,0.0,0,0,2020-03-06
38076,Europe,冰岛,Iceland,26,0.0,0,0,2020-03-05
39446,Europe,冰岛,Iceland,14,0.0,0,0,2020-03-04
40463,Europe,冰岛,Iceland,9,0.0,0,0,2020-03-03
42717,Europe,冰岛,Iceland,1,0.0,0,0,2020-03-02
43564,Europe,冰岛,Iceland,1,0.0,0,0,2020-03-01
44413,Europe,冰岛,Iceland,1,0.0,0,0,2020-02-29
