,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
374,Africa,几内亚,Guinea,几内亚,Guinea,22,0.0,1,0,,,,,,,2020-04-01
2406,Africa,几内亚,Guinea,几内亚,Guinea,22,0.0,1,0,,,,,,,2020-03-31
4355,Africa,几内亚,Guinea,几内亚,Guinea,16,0.0,1,0,,,,,,,2020-03-30
7976,Africa,几内亚,Guinea,几内亚,Guinea,12,0.0,0,0,,,,,,,2020-03-29
9649,Africa,几内亚,Guinea,几内亚,Guinea,12,0.0,0,0,,,,,,,2020-03-28
11466,Africa,几内亚,Guinea,几内亚,Guinea,12,0.0,0,0,,,,,,,2020-03-27
13986,Africa,几内亚,Guinea,几内亚,Guinea,4,0.0,0,0,,,,,,,2020-03-26
18208,Africa,几内亚,Guinea,几内亚,Guinea,4,0.0,0,0,,,,,,,2020-03-25
19662,Africa,几内亚,Guinea,几内亚,Guinea,2,0.0,0,0,,,,,,,2020-03-24
22992,Africa,几内亚,Guinea,几内亚,Guinea,2,0.0,0,0,,,,,,,2020-03-23
25644,Africa,几内亚,Guinea,几内亚,Guinea,2,0.0,0,0,,,,,,,2020-03-22
27082,Africa,几内亚,Guinea,几内亚,Guinea,2,0.0,0,0,,,,,,,2020-03-21
27945,Africa,几内亚,Guinea,几内亚,Guinea,2,0.0,0,0,,,,,,,2020-03-20
29210,Africa,几内亚,Guinea,几内亚,Guinea,1,0.0,0,0,,,,,,,2020-03-19
31548,Africa,几内亚,Guinea,几内亚,Guinea,1,0.0,0,0,,,,,,,2020-03-18
33199,Africa,几内亚,Guinea,几内亚,Guinea,1,0.0,0,0,,,,,,,2020-03-17
35281,Africa,几内亚,Guinea,几内亚,Guinea,1,0.0,0,0,,,,,,,2020-03-16
36380,Africa,几内亚,Guinea,几内亚,Guinea,1,0.0,0,0,,,,,,,2020-03-15
