,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
134,Africa,几内亚比绍,,几内亚比绍,,73,0.0,3,1,,,,,,,2020-04-29
1225,Africa,几内亚比绍,,几内亚比绍,,53,0.0,3,1,,,,,,,2020-04-28
4317,Africa,几内亚比绍,,几内亚比绍,,52,0.0,3,0,,,,,,,2020-04-26
4983,Africa,几内亚比绍,,几内亚比绍,,52,0.0,3,0,,,,,,,2020-04-25
7012,Africa,几内亚比绍,,几内亚比绍,,52,0.0,3,0,,,,,,,2020-04-24
8041,Africa,几内亚比绍,,几内亚比绍,,52,0.0,3,0,,,,,,,2020-04-23
9537,Africa,几内亚比绍,,几内亚比绍,,50,0.0,3,0,,,,,,,2020-04-22
11848,Africa,几内亚比绍,,几内亚比绍,,50,0.0,3,0,,,,,,,2020-04-21
12638,Africa,几内亚比绍,,几内亚比绍,,50,0.0,3,0,,,,,,,2020-04-20
14494,Africa,几内亚比绍,,几内亚比绍,,50,0.0,3,0,,,,,,,2020-04-19
14766,Africa,几内亚比绍,,几内亚比绍,,50,0.0,3,0,,,,,,,2020-04-18
16364,Africa,几内亚比绍,,几内亚比绍,,46,0.0,3,0,,,,,,,2020-04-17
17861,Africa,几内亚比绍,,几内亚比绍,,46,0.0,3,0,,,,,,,2020-04-16
20219,Africa,几内亚比绍,,几内亚比绍,,40,0.0,3,0,,,,,,,2020-04-15
20973,Africa,几内亚比绍,,几内亚比绍,,40,0.0,3,0,,,,,,,2020-04-14
22662,Africa,几内亚比绍,,几内亚比绍,,39,0.0,0,0,,,,,,,2020-04-13
23347,Africa,几内亚比绍,,几内亚比绍,,39,0.0,0,0,,,,,,,2020-04-12
24842,Africa,几内亚比绍,,几内亚比绍,,38,0.0,0,0,,,,,,,2020-04-11
26384,Africa,几内亚比绍,,几内亚比绍,,36,0.0,0,0,,,,,,,2020-04-10
27593,Africa,几内亚比绍,,几内亚比绍,,33,0.0,0,0,,,,,,,2020-04-09
29516,Africa,几内亚比绍,,几内亚比绍,,33,0.0,0,0,,,,,,,2020-04-08
31034,Africa,几内亚比绍,,几内亚比绍,,33,0.0,0,0,,,,,,,2020-04-07
33531,Africa,几内亚比绍,,几内亚比绍,,18,0.0,0,0,,,,,,,2020-04-06
35027,Africa,几内亚比绍,,几内亚比绍,,15,0.0,0,0,,,,,,,2020-04-05
37117,Africa,几内亚比绍,,几内亚比绍,,15,0.0,0,0,,,,,,,2020-04-04
38294,Africa,几内亚比绍,,几内亚比绍,,9,0.0,0,0,,,,,,,2020-04-03
40973,Africa,几内亚比绍,,几内亚比绍,,9,0.0,0,0,,,,,,,2020-04-02
42332,Africa,几内亚比绍,,几内亚比绍,,2,0.0,0,0,,,,,,,2020-04-01
45073,Africa,几内亚比绍,,几内亚比绍,,2,0.0,0,0,,,,,,,2020-03-31
46309,Africa,几内亚比绍,,几内亚比绍,,2,0.0,0,0,,,,,,,2020-03-30
50118,Africa,几内亚比绍,,几内亚比绍,,2,0.0,0,0,,,,,,,2020-03-29
51601,Africa,几内亚比绍,,几内亚比绍,,2,0.0,0,0,,,,,,,2020-03-28
53417,Africa,几内亚比绍,,几内亚比绍,,2,0.0,0,0,,,,,,,2020-03-27
55907,Africa,几内亚比绍,,几内亚比绍,,2,0.0,0,0,,,,,,,2020-03-26
59958,Africa,几内亚比绍,,几内亚比绍,,2,0.0,0,0,,,,,,,2020-03-25
