,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
1213,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,83,0.0,0,1,,,,,,,2020-04-28
2505,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,83,0.0,0,1,,,,,,,2020-04-27
4971,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,82,0.0,0,1,,,,,,,2020-04-25
8025,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,82,0.0,0,1,,,,,,,2020-04-23
9226,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,82,0.0,0,1,,,,,,,2020-04-22
11834,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,82,0.0,0,1,,,,,,,2020-04-21
12624,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,82,0.0,0,1,,,,,,,2020-04-20
16345,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,81,0.0,0,1,,,,,,,2020-04-17
17847,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,81,0.0,0,1,,,,,,,2020-04-16
20198,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,80,0.0,0,1,,,,,,,2020-04-15
20958,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,80,0.0,0,1,,,,,,,2020-04-14
22648,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,80,0.0,0,1,,,,,,,2020-04-13
23333,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,80,0.0,0,1,,,,,,,2020-04-12
25082,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,79,0.0,0,1,,,,,,,2020-04-11
26369,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,79,0.0,0,1,,,,,,,2020-04-10
27574,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,78,0.0,0,1,,,,,,,2020-04-09
29497,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,78,0.0,0,1,,,,,,,2020-04-08
31018,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,78,0.0,0,1,,,,,,,2020-04-07
33499,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,77,0.0,0,1,,,,,,,2020-04-06
34992,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,76,0.0,0,0,,,,,,,2020-04-05
37083,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,75,0.0,0,0,,,,,,,2020-04-04
