,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
1244,Africa,刚果（布）,,19,0.0,0,0,2020-03-28
3276,Africa,刚果（布）,,4,0.0,0,0,2020-03-27
6954,Africa,刚果（布）,,4,0.0,0,0,2020-03-26
9993,Africa,刚果（布）,,4,0.0,0,0,2020-03-25
11432,Africa,刚果（布）,,4,0.0,0,0,2020-03-24
14762,Africa,刚果（布）,,4,0.0,0,0,2020-03-23
17417,Africa,刚果（布）,,4,0.0,0,0,2020-03-22
18856,Africa,刚果（布）,,3,0.0,0,0,2020-03-21
19721,Africa,刚果（布）,,3,0.0,0,0,2020-03-20
20971,Africa,刚果（布）,,3,0.0,0,0,2020-03-19
23336,Africa,刚果（布）,,1,0.0,0,0,2020-03-18
24711,Africa,刚果（布）,,1,0.0,0,0,2020-03-17
27069,Africa,刚果（布）,,1,0.0,0,0,2020-03-16
