,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
103,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,471,0.0,56,30,,,,,,,2020-04-29
937,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,471,0.0,56,30,,,,,,,2020-04-28
2460,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,459,0.0,50,28,,,,,,,2020-04-27
3572,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,442,0.0,50,28,,,,,,,2020-04-26
4781,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,416,0.0,49,28,,,,,,,2020-04-25
6451,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,394,0.0,48,25,,,,,,,2020-04-24
7831,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,377,0.0,47,25,,,,,,,2020-04-23
9188,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,359,0.0,45,25,,,,,,,2020-04-22
10829,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,350,0.0,35,25,,,,,,,2020-04-21
12356,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,332,0.0,27,25,,,,,,,2020-04-20
13352,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,327,0.0,27,25,,,,,,,2020-04-19
14717,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,307,0.0,26,25,,,,,,,2020-04-18
15989,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,287,0.0,25,23,,,,,,,2020-04-17
17820,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,267,0.0,23,22,,,,,,,2020-04-16
19174,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,254,0.0,21,21,,,,,,,2020-04-15
20673,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,241,0.0,20,20,,,,,,,2020-04-14
22085,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,235,0.0,17,20,,,,,,,2020-04-13
23141,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,234,0.0,16,20,,,,,,,2020-04-12
24655,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,223,0.0,16,20,,,,,,,2020-04-11
26134,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,215,0.0,13,20,,,,,,,2020-04-10
27442,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,207,0.0,10,20,,,,,,,2020-04-09
29188,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,183,0.0,10,20,,,,,,,2020-04-08
30996,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,180,0.0,9,18,,,,,,,2020-04-07
32956,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,161,0.0,3,18,,,,,,,2020-04-06
34977,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,154,0.0,3,18,,,,,,,2020-04-05
36668,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,148,0.0,3,16,,,,,,,2020-04-04
38233,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,134,0.0,3,13,,,,,,,2020-04-03
40488,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,123,0.0,3,11,,,,,,,2020-04-02
42022,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,109,0.0,3,8,,,,,,,2020-04-01
44278,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,98,0.0,3,8,,,,,,,2020-03-31
46228,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,81,0.0,3,8,,,,,,,2020-03-30
