,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
1228,Africa,利比亚,Libya,利比亚,Libya,61,0.0,18,2,,,,,,,2020-04-28
2773,Africa,利比亚,Libya,利比亚,Libya,61,0.0,18,2,,,,,,,2020-04-27
3629,Africa,利比亚,Libya,利比亚,Libya,61,0.0,18,2,,,,,,,2020-04-26
4797,Africa,利比亚,Libya,利比亚,Libya,61,0.0,18,2,,,,,,,2020-04-25
6619,Africa,利比亚,Libya,利比亚,Libya,60,0.0,15,2,,,,,,,2020-04-24
7850,Africa,利比亚,Libya,利比亚,Libya,60,0.0,15,1,,,,,,,2020-04-23
9241,Africa,利比亚,Libya,利比亚,Libya,59,0.0,15,1,,,,,,,2020-04-22
11850,Africa,利比亚,Libya,利比亚,Libya,51,0.0,11,1,,,,,,,2020-04-21
12641,Africa,利比亚,Libya,利比亚,Libya,51,0.0,11,1,,,,,,,2020-04-20
16030,Africa,利比亚,Libya,利比亚,Libya,49,0.0,11,1,,,,,,,2020-04-17
17867,Africa,利比亚,Libya,利比亚,Libya,48,0.0,11,1,,,,,,,2020-04-16
19210,Africa,利比亚,Libya,利比亚,Libya,35,0.0,9,1,,,,,,,2020-04-15
20991,Africa,利比亚,Libya,利比亚,Libya,26,0.0,9,1,,,,,,,2020-04-14
22287,Africa,利比亚,Libya,利比亚,Libya,25,0.0,9,5,,,,,,,2020-04-13
23364,Africa,利比亚,Libya,利比亚,Libya,25,0.0,3,5,,,,,,,2020-04-12
24850,Africa,利比亚,Libya,利比亚,Libya,37,0.0,3,5,,,,,,,2020-04-11
26139,Africa,利比亚,Libya,利比亚,Libya,37,0.0,3,5,,,,,,,2020-04-10
27616,Africa,利比亚,Libya,利比亚,Libya,21,0.0,8,1,,,,,,,2020-04-09
29526,Africa,利比亚,Libya,利比亚,Libya,21,0.0,0,1,,,,,,,2020-04-08
31045,Africa,利比亚,Libya,利比亚,Libya,19,0.0,0,1,,,,,,,2020-04-07
33533,Africa,利比亚,Libya,利比亚,Libya,18,0.0,0,1,,,,,,,2020-04-06
34599,Africa,利比亚,Libya,利比亚,Libya,18,0.0,0,1,,,,,,,2020-04-05
36671,Africa,利比亚,Libya,利比亚,Libya,17,0.0,0,1,,,,,,,2020-04-04
38288,Africa,利比亚,Libya,利比亚,Libya,11,0.0,0,1,,,,,,,2020-04-03
40967,Africa,利比亚,Libya,利比亚,Libya,10,0.0,0,0,,,,,,,2020-04-02
42305,Africa,利比亚,Libya,利比亚,Libya,8,0.0,0,0,,,,,,,2020-04-01
44332,Africa,利比亚,Libya,利比亚,Libya,8,0.0,0,0,,,,,,,2020-03-31
46306,Africa,利比亚,Libya,利比亚,Libya,3,0.0,0,0,,,,,,,2020-03-30
50123,Africa,利比亚,Libya,利比亚,Libya,1,0.0,0,0,,,,,,,2020-03-29
51609,Africa,利比亚,Libya,利比亚,Libya,1,0.0,0,0,,,,,,,2020-03-28
53425,Africa,利比亚,Libya,利比亚,Libya,1,0.0,0,0,,,,,,,2020-03-27
55909,Africa,利比亚,Libya,利比亚,Libya,1,0.0,0,0,,,,,,,2020-03-26
59843,Africa,利比亚,Libya,利比亚,Libya,1,0.0,0,0,,,,,,,2020-03-25
