,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
131,Africa,利比里亚,Liberia,利比里亚,Liberia,141,0.0,45,16,,,,,,,2020-04-29
916,Africa,利比里亚,Liberia,利比里亚,Liberia,141,0.0,45,16,,,,,,,2020-04-28
2504,Africa,利比里亚,Liberia,利比里亚,Liberia,124,0.0,25,12,,,,,,,2020-04-27
3617,Africa,利比里亚,Liberia,利比里亚,Liberia,120,0.0,25,11,,,,,,,2020-04-26
4765,Africa,利比里亚,Liberia,利比里亚,Liberia,120,0.0,25,11,,,,,,,2020-04-25
6466,Africa,利比里亚,Liberia,利比里亚,Liberia,117,0.0,25,8,,,,,,,2020-04-24
8023,Africa,利比里亚,Liberia,利比里亚,Liberia,101,0.0,7,8,,,,,,,2020-04-23
9224,Africa,利比里亚,Liberia,利比里亚,Liberia,101,0.0,7,8,,,,,,,2020-04-22
10747,Africa,利比里亚,Liberia,利比里亚,Liberia,101,0.0,7,8,,,,,,,2020-04-21
12207,Africa,利比里亚,Liberia,利比里亚,Liberia,99,0.0,7,8,,,,,,,2020-04-20
13363,Africa,利比里亚,Liberia,利比里亚,Liberia,81,0.0,7,7,,,,,,,2020-04-19
14761,Africa,利比里亚,Liberia,利比里亚,Liberia,76,0.0,7,7,,,,,,,2020-04-18
15725,Africa,利比里亚,Liberia,利比里亚,Liberia,76,0.0,7,7,,,,,,,2020-04-17
20211,Africa,利比里亚,Liberia,利比里亚,Liberia,59,0.0,4,6,,,,,,,2020-04-15
20968,Africa,利比里亚,Liberia,利比里亚,Liberia,59,0.0,4,6,,,,,,,2020-04-14
22006,Africa,利比里亚,Liberia,利比里亚,Liberia,59,0.0,4,6,,,,,,,2020-04-13
23355,Africa,利比里亚,Liberia,利比里亚,Liberia,37,0.0,3,5,,,,,,,2020-04-12
26636,Africa,利比里亚,Liberia,利比里亚,Liberia,31,0.0,3,4,,,,,,,2020-04-10
27600,Africa,利比里亚,Liberia,利比里亚,Liberia,31,0.0,3,4,,,,,,,2020-04-09
29551,Africa,利比里亚,Liberia,利比里亚,Liberia,14,0.0,3,3,,,,,,,2020-04-08
31057,Africa,利比里亚,Liberia,利比里亚,Liberia,14,0.0,3,3,,,,,,,2020-04-07
32851,Africa,利比里亚,Liberia,利比里亚,Liberia,14,0.0,3,3,,,,,,,2020-04-06
34666,Africa,利比里亚,Liberia,利比里亚,Liberia,13,0.0,3,3,,,,,,,2020-04-05
36619,Africa,利比里亚,Liberia,利比里亚,Liberia,10,0.0,3,1,,,,,,,2020-04-04
38301,Africa,利比里亚,Liberia,利比里亚,Liberia,6,0.0,0,0,,,,,,,2020-04-03
40982,Africa,利比里亚,Liberia,利比里亚,Liberia,6,0.0,0,0,,,,,,,2020-04-02
42050,Africa,利比里亚,Liberia,利比里亚,Liberia,6,0.0,0,0,,,,,,,2020-04-01
46304,Africa,利比里亚,Liberia,利比里亚,Liberia,3,0.0,0,0,,,,,,,2020-03-30
51593,Africa,利比里亚,Liberia,利比里亚,Liberia,3,0.0,0,0,,,,,,,2020-03-28
53407,Africa,利比里亚,Liberia,利比里亚,Liberia,3,0.0,0,0,,,,,,,2020-03-27
57085,Africa,利比里亚,Liberia,利比里亚,Liberia,3,0.0,0,0,,,,,,,2020-03-26
60122,Africa,利比里亚,Liberia,利比里亚,Liberia,3,0.0,0,0,,,,,,,2020-03-25
61559,Africa,利比里亚,Liberia,利比里亚,Liberia,3,0.0,0,0,,,,,,,2020-03-24
64876,Africa,利比里亚,Liberia,利比里亚,Liberia,3,0.0,0,0,,,,,,,2020-03-23
67530,Africa,利比里亚,Liberia,利比里亚,Liberia,3,0.0,0,0,,,,,,,2020-03-22
68762,Africa,利比里亚,Liberia,利比里亚,Liberia,3,0.0,0,0,,,,,,,2020-03-21
69840,Africa,利比里亚,Liberia,利比里亚,Liberia,2,0.0,0,0,,,,,,,2020-03-20
71088,Africa,利比里亚,Liberia,利比里亚,Liberia,2,0.0,0,0,,,,,,,2020-03-19
73425,Africa,利比里亚,Liberia,利比里亚,Liberia,2,0.0,0,0,,,,,,,2020-03-18
74741,Africa,利比里亚,Liberia,利比里亚,Liberia,2,0.0,0,0,,,,,,,2020-03-17
