,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
233,Africa,加纳,Ghana,加纳,Ghana,152,0.0,2,5,,,,,,,2020-03-31
2289,Africa,加纳,Ghana,加纳,Ghana,152,0.0,2,5,,,,,,,2020-03-30
5093,Africa,加纳,Ghana,加纳,Ghana,152,0.0,2,5,,,,,,,2020-03-29
7416,Africa,加纳,Ghana,加纳,Ghana,137,0.0,2,4,,,,,,,2020-03-28
9205,Africa,加纳,Ghana,加纳,Ghana,136,0.0,1,3,,,,,,,2020-03-27
11903,Africa,加纳,Ghana,加纳,Ghana,132,0.0,0,3,,,,,,,2020-03-26
15940,Africa,加纳,Ghana,加纳,Ghana,68,0.0,0,2,,,,,,,2020-03-25
17589,Africa,加纳,Ghana,加纳,Ghana,52,0.0,0,2,,,,,,,2020-03-24
20934,Africa,加纳,Ghana,加纳,Ghana,24,0.0,0,1,,,,,,,2020-03-23
23596,Africa,加纳,Ghana,加纳,Ghana,21,0.0,0,1,,,,,,,2020-03-22
25028,Africa,加纳,Ghana,加纳,Ghana,19,0.0,0,0,,,,,,,2020-03-21
25895,Africa,加纳,Ghana,加纳,Ghana,16,0.0,0,0,,,,,,,2020-03-20
27161,Africa,加纳,Ghana,加纳,Ghana,9,0.0,0,0,,,,,,,2020-03-19
29501,Africa,加纳,Ghana,加纳,Ghana,7,0.0,0,0,,,,,,,2020-03-18
31158,Africa,加纳,Ghana,加纳,Ghana,6,0.0,0,0,,,,,,,2020-03-17
33228,Africa,加纳,Ghana,加纳,Ghana,6,0.0,0,0,,,,,,,2020-03-16
34344,Africa,加纳,Ghana,加纳,Ghana,2,0.0,0,0,,,,,,,2020-03-15
35816,Africa,加纳,Ghana,加纳,Ghana,2,0.0,0,0,,,,,,,2020-03-14
36620,Africa,加纳,Ghana,加纳,Ghana,2,0.0,0,0,,,,,,,2020-03-13
