,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
1448,Africa,加蓬,Gabon,7,0.0,0,1,2020-03-28
3262,Africa,加蓬,Gabon,7,0.0,0,1,2020-03-27
6942,Africa,加蓬,Gabon,6,0.0,0,1,2020-03-26
9985,Africa,加蓬,Gabon,6,0.0,0,1,2020-03-25
11423,Africa,加蓬,Gabon,6,0.0,0,1,2020-03-24
14758,Africa,加蓬,Gabon,5,0.0,0,1,2020-03-23
17413,Africa,加蓬,Gabon,5,0.0,0,1,2020-03-22
18852,Africa,加蓬,Gabon,4,0.0,0,1,2020-03-21
19717,Africa,加蓬,Gabon,4,0.0,0,1,2020-03-20
20968,Africa,加蓬,Gabon,3,0.0,0,0,2020-03-19
22808,Africa,加蓬,Gabon,3,0.0,0,0,2020-03-18
24707,Africa,加蓬,Gabon,1,0.0,0,0,2020-03-17
26654,Africa,加蓬,Gabon,1,0.0,0,0,2020-03-16
28150,Africa,加蓬,Gabon,1,0.0,0,0,2020-03-15
29616,Africa,加蓬,Gabon,1,0.0,0,0,2020-03-14
30181,Africa,加蓬,Gabon,1,0.0,0,0,2020-03-13
