,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
61,Europe,匈牙利,Hungary,匈牙利,Hungary,2649,0.0,516,291,,,,,,,2020-04-29
893,Europe,匈牙利,Hungary,匈牙利,Hungary,2649,0.0,516,291,,,,,,,2020-04-28
2420,Europe,匈牙利,Hungary,匈牙利,Hungary,2583,0.0,498,280,,,,,,,2020-04-27
3405,Europe,匈牙利,Hungary,匈牙利,Hungary,2500,0.0,485,272,,,,,,,2020-04-26
4885,Europe,匈牙利,Hungary,匈牙利,Hungary,2443,0.0,458,262,,,,,,,2020-04-25
6412,Europe,匈牙利,Hungary,匈牙利,Hungary,2383,0.0,401,250,,,,,,,2020-04-24
7806,Europe,匈牙利,Hungary,匈牙利,Hungary,2284,0.0,390,239,,,,,,,2020-04-23
9079,Europe,匈牙利,Hungary,匈牙利,Hungary,2168,0.0,295,225,,,,,,,2020-04-22
10963,Europe,匈牙利,Hungary,匈牙利,Hungary,2098,0.0,287,213,,,,,,,2020-04-21
12220,Europe,匈牙利,Hungary,匈牙利,Hungary,1984,0.0,267,199,,,,,,,2020-04-20
13491,Europe,匈牙利,Hungary,匈牙利,Hungary,1916,0.0,250,189,,,,,,,2020-04-19
14674,Europe,匈牙利,Hungary,匈牙利,Hungary,1834,0.0,231,172,,,,,,,2020-04-18
15941,Europe,匈牙利,Hungary,匈牙利,Hungary,1763,0.0,207,156,,,,,,,2020-04-17
17769,Europe,匈牙利,Hungary,匈牙利,Hungary,1652,0.0,199,142,,,,,,,2020-04-16
18986,Europe,匈牙利,Hungary,匈牙利,Hungary,1579,0.0,192,134,,,,,,,2020-04-15
20595,Europe,匈牙利,Hungary,匈牙利,Hungary,1512,0.0,122,122,,,,,,,2020-04-14
22191,Europe,匈牙利,Hungary,匈牙利,Hungary,1458,0.0,120,109,,,,,,,2020-04-13
23258,Europe,匈牙利,Hungary,匈牙利,Hungary,1410,0.0,118,99,,,,,,,2020-04-12
24626,Europe,匈牙利,Hungary,匈牙利,Hungary,1310,0.0,115,85,,,,,,,2020-04-11
26300,Europe,匈牙利,Hungary,匈牙利,Hungary,1190,0.0,112,77,,,,,,,2020-04-10
27352,Europe,匈牙利,Hungary,匈牙利,Hungary,895,0.0,94,58,,,,,,,2020-04-09
29319,Europe,匈牙利,Hungary,匈牙利,Hungary,895,0.0,94,58,,,,,,,2020-04-08
30954,Europe,匈牙利,Hungary,匈牙利,Hungary,817,0.0,71,47,,,,,,,2020-04-07
33016,Europe,匈牙利,Hungary,匈牙利,Hungary,744,0.0,67,38,,,,,,,2020-04-06
34802,Europe,匈牙利,Hungary,匈牙利,Hungary,733,0.0,66,34,,,,,,,2020-04-05
36762,Europe,匈牙利,Hungary,匈牙利,Hungary,678,0.0,58,32,,,,,,,2020-04-04
38187,Europe,匈牙利,Hungary,匈牙利,Hungary,632,0.0,43,26,,,,,,,2020-04-03
40518,Europe,匈牙利,Hungary,匈牙利,Hungary,585,0.0,42,21,,,,,,,2020-04-02
41982,Europe,匈牙利,Hungary,匈牙利,Hungary,525,0.0,40,20,,,,,,,2020-04-01
44117,Europe,匈牙利,Hungary,匈牙利,Hungary,492,0.0,37,16,,,,,,,2020-03-31
46110,Europe,匈牙利,Hungary,匈牙利,Hungary,447,0.0,34,15,,,,,,,2020-03-30
49002,Europe,匈牙利,Hungary,匈牙利,Hungary,408,0.0,34,13,,,,,,,2020-03-29
51212,Europe,匈牙利,Hungary,匈牙利,Hungary,343,0.0,34,11,,,,,,,2020-03-28
53210,Europe,匈牙利,Hungary,匈牙利,Hungary,300,0.0,34,10,,,,,,,2020-03-27
55800,Europe,匈牙利,Hungary,匈牙利,Hungary,261,0.0,28,10,,,,,,,2020-03-26
59753,Europe,匈牙利,Hungary,匈牙利,Hungary,226,0.0,21,10,,,,,,,2020-03-25
61468,Europe,匈牙利,Hungary,匈牙利,Hungary,187,0.0,21,8,,,,,,,2020-03-24
64788,Europe,匈牙利,Hungary,匈牙利,Hungary,167,0.0,7,4,,,,,,,2020-03-23
67383,Europe,匈牙利,Hungary,匈牙利,Hungary,131,0.0,7,4,,,,,,,2020-03-22
68889,Europe,匈牙利,Hungary,匈牙利,Hungary,103,0.0,7,4,,,,,,,2020-03-21
