,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
11,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,329,0.0,1,7,,,,,,,2020-04-02
303,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,329,0.0,1,7,,,,,,,2020-04-01
2225,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,259,0.0,1,6,,,,,,,2020-03-31
4109,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,257,0.0,1,6,,,,,,,2020-03-30
7250,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,219,0.0,1,3,,,,,,,2020-03-29
8981,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,201,0.0,1,3,,,,,,,2020-03-28
11235,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,177,0.0,1,2,,,,,,,2020-03-27
13796,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,148,0.0,1,2,,,,,,,2020-03-26
17855,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,136,0.0,1,2,,,,,,,2020-03-25
19570,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,136,0.0,1,2,,,,,,,2020-03-24
22901,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,136,0.0,1,2,,,,,,,2020-03-23
25578,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,70,0.0,0,0,,,,,,,2020-03-22
27009,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,67,0.0,0,0,,,,,,,2020-03-21
27872,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,67,0.0,0,0,,,,,,,2020-03-20
29141,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,35,0.0,0,0,,,,,,,2020-03-19
31480,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,31,0.0,0,0,,,,,,,2020-03-18
33146,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,18,0.0,0,0,,,,,,,2020-03-17
35223,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,18,0.0,0,0,,,,,,,2020-03-16
36325,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,13,0.0,0,0,,,,,,,2020-03-15
37434,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,13,0.0,0,0,,,,,,,2020-03-14
38606,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,9,0.0,0,0,,,,,,,2020-03-13
39539,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,9,0.0,0,0,,,,,,,2020-03-12
40627,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,7,0.0,0,0,,,,,,,2020-03-11
41234,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,7,0.0,0,0,,,,,,,2020-03-10
42835,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,3,0.0,0,0,,,,,,,2020-03-09
43355,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,3,0.0,0,0,,,,,,,2020-03-08
47048,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,1,0.0,0,0,,,,,,,2020-03-05
49429,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,1,0.0,0,0,,,,,,,2020-03-03
50930,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,1,0.0,0,0,,,,,,,2020-03-02
51777,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,1,0.0,0,0,,,,,,,2020-03-01
52625,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,1,0.0,0,0,,,,,,,2020-02-29
54217,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,1,0.0,0,0,,,,,,,2020-02-28
54822,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,1,0.0,0,0,,,,,,,2020-02-27
