,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
70,Africa,南非,South Africa,南非,South Africa,1326,0.0,1,3,,,,,,,2020-04-01
177,Africa,南非,South Africa,南非,South Africa,1326,0.0,1,3,,,,,,,2020-03-31
2131,Africa,南非,South Africa,南非,South Africa,1280,0.0,1,2,,,,,,,2020-03-30
5289,Africa,南非,South Africa,南非,South Africa,1187,0.0,1,2,,,,,,,2020-03-29
6935,Africa,南非,South Africa,南非,South Africa,1170,0.0,1,1,,,,,,,2020-03-28
9348,Africa,南非,South Africa,南非,South Africa,927,0.0,1,1,,,,,,,2020-03-27
11860,Africa,南非,South Africa,南非,South Africa,709,0.0,0,0,,,,,,,2020-03-26
15810,Africa,南非,South Africa,南非,South Africa,709,0.0,0,0,,,,,,,2020-03-25
17534,Africa,南非,South Africa,南非,South Africa,402,0.0,0,0,,,,,,,2020-03-24
20866,Africa,南非,South Africa,南非,South Africa,402,0.0,0,0,,,,,,,2020-03-23
23538,Africa,南非,South Africa,南非,South Africa,240,0.0,0,0,,,,,,,2020-03-22
24969,Africa,南非,South Africa,南非,South Africa,240,0.0,0,0,,,,,,,2020-03-21
25837,Africa,南非,South Africa,南非,South Africa,202,0.0,0,0,,,,,,,2020-03-20
27102,Africa,南非,South Africa,南非,South Africa,116,0.0,0,0,,,,,,,2020-03-19
28988,Africa,南非,South Africa,南非,South Africa,116,0.0,0,0,,,,,,,2020-03-18
31102,Africa,南非,South Africa,南非,South Africa,62,0.0,0,0,,,,,,,2020-03-17
33191,Africa,南非,South Africa,南非,South Africa,51,0.0,0,0,,,,,,,2020-03-16
34286,Africa,南非,South Africa,南非,South Africa,51,0.0,0,0,,,,,,,2020-03-15
35776,Africa,南非,South Africa,南非,South Africa,24,0.0,0,0,,,,,,,2020-03-14
36319,Africa,南非,South Africa,南非,South Africa,24,0.0,0,0,,,,,,,2020-03-13
37258,Africa,南非,South Africa,南非,South Africa,17,0.0,0,0,,,,,,,2020-03-12
38314,Africa,南非,South Africa,南非,South Africa,7,0.0,0,0,,,,,,,2020-03-11
39315,Africa,南非,South Africa,南非,South Africa,2,0.0,0,0,,,,,,,2020-03-10
40829,Africa,南非,South Africa,南非,South Africa,2,0.0,0,0,,,,,,,2020-03-09
41349,Africa,南非,South Africa,南非,South Africa,2,0.0,0,0,,,,,,,2020-03-08
42412,Africa,南非,South Africa,南非,South Africa,1,0.0,0,0,,,,,,,2020-03-07
43125,Africa,南非,South Africa,南非,South Africa,1,0.0,0,0,,,,,,,2020-03-06
