,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
105,Asia,卡塔尔,Qatar,卡塔尔,Qatar,693,0.0,51,2,,,,,,,2020-04-01
192,Asia,卡塔尔,Qatar,卡塔尔,Qatar,693,0.0,51,2,,,,,,,2020-03-31
2142,Asia,卡塔尔,Qatar,卡塔尔,Qatar,634,0.0,48,1,,,,,,,2020-03-30
5307,Asia,卡塔尔,Qatar,卡塔尔,Qatar,590,0.0,45,1,,,,,,,2020-03-29
6952,Asia,卡塔尔,Qatar,卡塔尔,Qatar,562,0.0,43,0,,,,,,,2020-03-28
9362,Asia,卡塔尔,Qatar,卡塔尔,Qatar,549,0.0,43,0,,,,,,,2020-03-27
11865,Asia,卡塔尔,Qatar,卡塔尔,Qatar,537,0.0,41,0,,,,,,,2020-03-26
15815,Asia,卡塔尔,Qatar,卡塔尔,Qatar,526,0.0,41,0,,,,,,,2020-03-25
17531,Asia,卡塔尔,Qatar,卡塔尔,Qatar,501,0.0,37,0,,,,,,,2020-03-24
20862,Asia,卡塔尔,Qatar,卡塔尔,Qatar,494,0.0,33,0,,,,,,,2020-03-23
23524,Asia,卡塔尔,Qatar,卡塔尔,Qatar,481,0.0,27,0,,,,,,,2020-03-22
24951,Asia,卡塔尔,Qatar,卡塔尔,Qatar,470,0.0,10,0,,,,,,,2020-03-21
25815,Asia,卡塔尔,Qatar,卡塔尔,Qatar,452,0.0,4,0,,,,,,,2020-03-20
27072,Asia,卡塔尔,Qatar,卡塔尔,Qatar,452,0.0,4,0,,,,,,,2020-03-19
29411,Asia,卡塔尔,Qatar,卡塔尔,Qatar,439,0.0,0,0,,,,,,,2020-03-18
31066,Asia,卡塔尔,Qatar,卡塔尔,Qatar,439,0.0,0,0,,,,,,,2020-03-17
33152,Asia,卡塔尔,Qatar,卡塔尔,Qatar,401,0.0,0,0,,,,,,,2020-03-16
34254,Asia,卡塔尔,Qatar,卡塔尔,Qatar,338,0.0,0,0,,,,,,,2020-03-15
35380,Asia,卡塔尔,Qatar,卡塔尔,Qatar,338,0.0,0,0,,,,,,,2020-03-14
36305,Asia,卡塔尔,Qatar,卡塔尔,Qatar,262,0.0,0,0,,,,,,,2020-03-13
37479,Asia,卡塔尔,Qatar,卡塔尔,Qatar,263,0.0,0,0,,,,,,,2020-03-12
38295,Asia,卡塔尔,Qatar,卡塔尔,Qatar,24,0.0,0,0,,,,,,,2020-03-11
39281,Asia,卡塔尔,Qatar,卡塔尔,Qatar,18,0.0,0,0,,,,,,,2020-03-10
40809,Asia,卡塔尔,Qatar,卡塔尔,Qatar,11,0.0,0,0,,,,,,,2020-03-09
41758,Asia,卡塔尔,Qatar,卡塔尔,Qatar,11,0.0,0,0,,,,,,,2020-03-08
42395,Asia,卡塔尔,Qatar,卡塔尔,Qatar,11,0.0,0,0,,,,,,,2020-03-07
44050,Asia,卡塔尔,Qatar,卡塔尔,Qatar,7,0.0,0,0,,,,,,,2020-03-06
44963,Asia,卡塔尔,Qatar,卡塔尔,Qatar,7,0.0,0,0,,,,,,,2020-03-05
45881,Asia,卡塔尔,Qatar,卡塔尔,Qatar,7,0.0,0,0,,,,,,,2020-03-04
46673,Asia,卡塔尔,Qatar,卡塔尔,Qatar,7,0.0,0,0,,,,,,,2020-03-03
48492,Asia,卡塔尔,Qatar,卡塔尔,Qatar,1,0.0,0,0,,,,,,,2020-03-02
49775,Asia,卡塔尔,Qatar,卡塔尔,Qatar,1,0.0,0,0,,,,,,,2020-03-01
