,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
346,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,75,0.0,0,0,,,,,,,2020-04-01
2378,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,70,0.0,0,0,,,,,,,2020-03-31
4323,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,70,0.0,0,0,,,,,,,2020-03-30
7943,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,60,0.0,0,0,,,,,,,2020-03-29
9447,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,54,0.0,0,0,,,,,,,2020-03-28
11434,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,50,0.0,0,0,,,,,,,2020-03-27
13944,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,41,0.0,0,0,,,,,,,2020-03-26
18162,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,40,0.0,0,0,,,,,,,2020-03-25
19606,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,36,0.0,0,0,,,,,,,2020-03-24
22951,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,17,0.0,0,0,,,,,,,2020-03-23
25610,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,17,0.0,0,0,,,,,,,2020-03-22
27040,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,17,0.0,0,0,,,,,,,2020-03-21
27915,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,11,0.0,0,0,,,,,,,2020-03-20
29165,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,11,0.0,0,0,,,,,,,2020-03-19
31022,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,8,0.0,0,0,,,,,,,2020-03-18
32912,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,7,0.0,0,0,,,,,,,2020-03-17
35241,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,5,0.0,0,0,,,,,,,2020-03-16
36379,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,1,0.0,0,0,,,,,,,2020-03-15
