,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
123,Asia,印度,India,印度,India,1637,0.0,133,38,,,,,,,2020-04-01
2189,Asia,印度,India,印度,India,1251,0.0,101,32,,,,,,,2020-03-31
4139,Asia,印度,India,印度,India,1414,0.0,95,27,,,,,,,2020-03-30
7114,Asia,印度,India,印度,India,1024,0.0,95,27,,,,,,,2020-03-29
9168,Asia,印度,India,印度,India,918,0.0,80,19,,,,,,,2020-03-28
11201,Asia,印度,India,印度,India,724,0.0,66,17,,,,,,,2020-03-27
13802,Asia,印度,India,印度,India,649,0.0,42,13,,,,,,,2020-03-26
17822,Asia,印度,India,印度,India,606,0.0,42,10,,,,,,,2020-03-25
19539,Asia,印度,India,印度,India,519,0.0,40,9,,,,,,,2020-03-24
22876,Asia,印度,India,印度,India,415,0.0,23,8,,,,,,,2020-03-23
25539,Asia,印度,India,印度,India,341,0.0,23,6,,,,,,,2020-03-22
26975,Asia,印度,India,印度,India,283,0.0,23,5,,,,,,,2020-03-21
27845,Asia,印度,India,印度,India,223,0.0,15,5,,,,,,,2020-03-20
29103,Asia,印度,India,印度,India,173,0.0,14,4,,,,,,,2020-03-19
30995,Asia,印度,India,印度,India,151,0.0,14,3,,,,,,,2020-03-18
32829,Asia,印度,India,印度,India,137,0.0,3,3,,,,,,,2020-03-17
35183,Asia,印度,India,印度,India,110,0.0,3,2,,,,,,,2020-03-16
36281,Asia,印度,India,印度,India,107,0.0,3,2,,,,,,,2020-03-15
37404,Asia,印度,India,印度,India,84,0.0,3,0,,,,,,,2020-03-14
38321,Asia,印度,India,印度,India,81,0.0,3,0,,,,,,,2020-03-13
39258,Asia,印度,India,印度,India,73,0.0,3,0,,,,,,,2020-03-12
40293,Asia,印度,India,印度,India,61,0.0,3,0,,,,,,,2020-03-11
41199,Asia,印度,India,印度,India,58,0.0,3,0,,,,,,,2020-03-10
42802,Asia,印度,India,印度,India,39,0.0,3,0,,,,,,,2020-03-09
43329,Asia,印度,India,印度,India,39,0.0,3,0,,,,,,,2020-03-08
44391,Asia,印度,India,印度,India,33,0.0,3,0,,,,,,,2020-03-07
45352,Asia,印度,India,印度,India,31,0.0,3,0,,,,,,,2020-03-06
46293,Asia,印度,India,印度,India,29,0.0,3,0,,,,,,,2020-03-05
47665,Asia,印度,India,印度,India,15,0.0,3,0,,,,,,,2020-03-04
48550,Asia,印度,India,印度,India,6,0.0,3,0,,,,,,,2020-03-03
50947,Asia,印度,India,印度,India,3,0.0,3,0,,,,,,,2020-03-02
51793,Asia,印度,India,印度,India,3,0.0,3,0,,,,,,,2020-03-01
52637,Asia,印度,India,印度,India,3,0.0,3,0,,,,,,,2020-02-29
56885,Asia,印度,India,印度,India,3,0.0,3,0,,,,,,,2020-02-26
66172,Asia,印度,India,印度,India,3,0.0,3,0,,,,,,,2020-02-20
67995,Asia,印度,India,印度,India,3,0.0,3,0,,,,,,,2020-02-19
69947,Asia,印度,India,印度,India,3,0.0,3,0,,,,,,,2020-02-18
70878,Asia,印度,India,印度,India,3,0.0,3,0,,,,,,,2020-02-17
72061,Asia,印度,India,印度,India,3,0.0,3,0,,,,,,,2020-02-16
75109,Asia,印度,India,印度,India,3,0.0,0,0,,,,,,,2020-02-15
77387,Asia,印度,India,印度,India,3,0.0,0,0,,,,,,,2020-02-14
78235,Asia,印度,India,印度,India,3,0.0,0,0,,,,,,,2020-02-13
80365,Asia,印度,India,印度,India,3,0.0,0,0,,,,,,,2020-02-12
82667,Asia,印度,India,印度,India,3,0.0,0,0,,,,,,,2020-02-11
84566,Asia,印度,India,印度,India,3,0.0,0,0,,,,,,,2020-02-10
99057,Asia,印度,India,印度,India,3,0.0,0,0,,,,,,,2020-02-04
103060,Asia,印度,India,印度,India,2,0.0,0,0,,,,,,,2020-02-02
105910,Asia,印度,India,印度,India,1,0.0,0,0,,,,,,,2020-02-01
107625,,印度,India,印度,India,1,0.0,0,0,,,,,,,2020-01-30
