,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
144,Asia,印度尼西亚,Indonesia,1155,0.0,35,102,2020-03-29
731,Asia,印度尼西亚,Indonesia,1155,0.0,35,102,2020-03-28
3063,Asia,印度尼西亚,Indonesia,1046,0.0,9,87,2020-03-27
5602,Asia,印度尼西亚,Indonesia,893,0.0,9,78,2020-03-26
9725,Asia,印度尼西亚,Indonesia,790,0.0,9,58,2020-03-25
11315,Asia,印度尼西亚,Indonesia,686,0.0,9,50,2020-03-24
14650,Asia,印度尼西亚,Indonesia,579,0.0,9,49,2020-03-23
17314,Asia,印度尼西亚,Indonesia,514,0.0,9,48,2020-03-22
18747,Asia,印度尼西亚,Indonesia,450,0.0,9,38,2020-03-21
19614,Asia,印度尼西亚,Indonesia,369,0.0,9,32,2020-03-20
20869,Asia,印度尼西亚,Indonesia,309,0.0,9,19,2020-03-19
22769,Asia,印度尼西亚,Indonesia,227,0.0,2,19,2020-03-18
24608,Asia,印度尼西亚,Indonesia,172,0.0,2,4,2020-03-17
26962,Asia,印度尼西亚,Indonesia,117,0.0,2,2,2020-03-16
28059,Asia,印度尼西亚,Indonesia,117,0.0,2,2,2020-03-15
29200,Asia,印度尼西亚,Indonesia,96,0.0,2,1,2020-03-14
30097,Asia,印度尼西亚,Indonesia,69,0.0,2,1,2020-03-13
31300,Asia,印度尼西亚,Indonesia,27,0.0,2,1,2020-03-12
32087,Asia,印度尼西亚,Indonesia,27,0.0,2,1,2020-03-11
32983,Asia,印度尼西亚,Indonesia,27,0.0,2,0,2020-03-10
34668,Asia,印度尼西亚,Indonesia,4,0.0,0,0,2020-03-09
35907,Asia,印度尼西亚,Indonesia,4,0.0,0,0,2020-03-08
36197,Asia,印度尼西亚,Indonesia,4,0.0,0,0,2020-03-07
36913,Asia,印度尼西亚,Indonesia,4,0.0,0,0,2020-03-06
38822,Asia,印度尼西亚,Indonesia,2,0.0,0,0,2020-03-05
40041,Asia,印度尼西亚,Indonesia,2,0.0,0,0,2020-03-04
41204,Asia,印度尼西亚,Indonesia,2,0.0,0,0,2020-03-03
41832,Asia,印度尼西亚,Indonesia,2,0.0,0,0,2020-03-02
