,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
363,North America,危地马拉,Guatemala,危地马拉,Guatemala,36,0.0,0,1,,,,,,,2020-04-01
2393,North America,危地马拉,Guatemala,危地马拉,Guatemala,34,0.0,0,1,,,,,,,2020-03-31
4341,North America,危地马拉,Guatemala,危地马拉,Guatemala,32,0.0,0,1,,,,,,,2020-03-30
7963,North America,危地马拉,Guatemala,危地马拉,Guatemala,25,0.0,0,1,,,,,,,2020-03-29
9636,North America,危地马拉,Guatemala,危地马拉,Guatemala,24,0.0,0,1,,,,,,,2020-03-28
11450,North America,危地马拉,Guatemala,危地马拉,Guatemala,24,0.0,0,1,,,,,,,2020-03-27
13959,North America,危地马拉,Guatemala,危地马拉,Guatemala,21,0.0,0,1,,,,,,,2020-03-26
18176,North America,危地马拉,Guatemala,危地马拉,Guatemala,20,0.0,0,1,,,,,,,2020-03-25
19622,North America,危地马拉,Guatemala,危地马拉,Guatemala,18,0.0,0,1,,,,,,,2020-03-24
22952,North America,危地马拉,Guatemala,危地马拉,Guatemala,17,0.0,0,1,,,,,,,2020-03-23
25611,North America,危地马拉,Guatemala,危地马拉,Guatemala,17,0.0,0,1,,,,,,,2020-03-22
27059,North America,危地马拉,Guatemala,危地马拉,Guatemala,9,0.0,0,1,,,,,,,2020-03-21
27928,North America,危地马拉,Guatemala,危地马拉,Guatemala,6,0.0,0,1,,,,,,,2020-03-20
29178,North America,危地马拉,Guatemala,危地马拉,Guatemala,6,0.0,0,1,,,,,,,2020-03-19
31538,North America,危地马拉,Guatemala,危地马拉,Guatemala,2,0.0,0,1,,,,,,,2020-03-18
32924,North America,危地马拉,Guatemala,危地马拉,Guatemala,2,0.0,0,1,,,,,,,2020-03-17
35260,North America,危地马拉,Guatemala,危地马拉,Guatemala,2,0.0,0,0,,,,,,,2020-03-16
36375,North America,危地马拉,Guatemala,危地马拉,Guatemala,1,0.0,0,0,,,,,,,2020-03-15
37531,North America,危地马拉,Guatemala,危地马拉,Guatemala,1,0.0,0,0,,,,,,,2020-03-14
