,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
381,Africa,厄立特里亚,,厄立特里亚,,15,0.0,0,0,,,,,,,2020-04-01
2413,Africa,厄立特里亚,,厄立特里亚,,15,0.0,0,0,,,,,,,2020-03-31
4360,Africa,厄立特里亚,,厄立特里亚,,12,0.0,0,0,,,,,,,2020-03-30
7996,Africa,厄立特里亚,,厄立特里亚,,6,0.0,0,0,,,,,,,2020-03-29
9672,Africa,厄立特里亚,,厄立特里亚,,6,0.0,0,0,,,,,,,2020-03-28
11481,Africa,厄立特里亚,,厄立特里亚,,6,0.0,0,0,,,,,,,2020-03-27
13989,Africa,厄立特里亚,,厄立特里亚,,4,0.0,0,0,,,,,,,2020-03-26
18239,Africa,厄立特里亚,,厄立特里亚,,1,0.0,0,0,,,,,,,2020-03-25
19685,Africa,厄立特里亚,,厄立特里亚,,1,0.0,0,0,,,,,,,2020-03-24
23018,Africa,厄立特里亚,,厄立特里亚,,1,0.0,0,0,,,,,,,2020-03-23
25658,Africa,厄立特里亚,,厄立特里亚,,1,0.0,0,0,,,,,,,2020-03-22
