,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
688,Asia,叙利亚,Syria,叙利亚,Syria,43,0.0,14,3,,,,,,,2020-04-29
1237,Asia,叙利亚,Syria,叙利亚,Syria,43,0.0,14,3,,,,,,,2020-04-28
2526,Asia,叙利亚,Syria,叙利亚,Syria,43,0.0,14,3,,,,,,,2020-04-27
4324,Asia,叙利亚,Syria,叙利亚,Syria,42,0.0,6,3,,,,,,,2020-04-26
4992,Asia,叙利亚,Syria,叙利亚,Syria,42,0.0,6,3,,,,,,,2020-04-25
8048,Asia,叙利亚,Syria,叙利亚,Syria,42,0.0,6,3,,,,,,,2020-04-23
9244,Asia,叙利亚,Syria,叙利亚,Syria,42,0.0,6,3,,,,,,,2020-04-22
11856,Asia,叙利亚,Syria,叙利亚,Syria,39,0.0,5,3,,,,,,,2020-04-21
12648,Asia,叙利亚,Syria,叙利亚,Syria,39,0.0,5,3,,,,,,,2020-04-20
13333,Asia,叙利亚,Syria,叙利亚,Syria,39,0.0,5,3,,,,,,,2020-04-19
14769,Asia,叙利亚,Syria,叙利亚,Syria,38,0.0,5,2,,,,,,,2020-04-18
16374,Asia,叙利亚,Syria,叙利亚,Syria,33,0.0,5,2,,,,,,,2020-04-17
17871,Asia,叙利亚,Syria,叙利亚,Syria,33,0.0,5,2,,,,,,,2020-04-16
19214,Asia,叙利亚,Syria,叙利亚,Syria,29,0.0,5,2,,,,,,,2020-04-15
20508,Asia,叙利亚,Syria,叙利亚,Syria,29,0.0,5,2,,,,,,,2020-04-14
22673,Asia,叙利亚,Syria,叙利亚,Syria,25,0.0,4,2,,,,,,,2020-04-13
23359,Asia,叙利亚,Syria,叙利亚,Syria,25,0.0,4,2,,,,,,,2020-04-12
26649,Asia,叙利亚,Syria,叙利亚,Syria,19,0.0,2,3,,,,,,,2020-04-10
27612,Asia,叙利亚,Syria,叙利亚,Syria,19,0.0,2,3,,,,,,,2020-04-09
29533,Asia,叙利亚,Syria,叙利亚,Syria,19,0.0,2,3,,,,,,,2020-04-08
31308,Asia,叙利亚,Syria,叙利亚,Syria,19,0.0,2,3,,,,,,,2020-04-07
33534,Asia,叙利亚,Syria,叙利亚,Syria,19,0.0,2,3,,,,,,,2020-04-06
34856,Asia,叙利亚,Syria,叙利亚,Syria,19,0.0,2,3,,,,,,,2020-04-05
37120,Asia,叙利亚,Syria,叙利亚,Syria,16,0.0,0,3,,,,,,,2020-04-04
38282,Asia,叙利亚,Syria,叙利亚,Syria,16,0.0,0,3,,,,,,,2020-04-03
40373,Asia,叙利亚,Syria,叙利亚,Syria,16,0.0,0,2,,,,,,,2020-04-02
42302,Asia,叙利亚,Syria,叙利亚,Syria,10,0.0,0,2,,,,,,,2020-04-01
44328,Asia,叙利亚,Syria,叙利亚,Syria,10,0.0,0,1,,,,,,,2020-03-31
46273,Asia,叙利亚,Syria,叙利亚,Syria,10,0.0,0,1,,,,,,,2020-03-30
49031,Asia,叙利亚,Syria,叙利亚,Syria,6,0.0,0,1,,,,,,,2020-03-29
51583,Asia,叙利亚,Syria,叙利亚,Syria,5,0.0,0,0,,,,,,,2020-03-28
53395,Asia,叙利亚,Syria,叙利亚,Syria,5,0.0,0,0,,,,,,,2020-03-27
55890,Asia,叙利亚,Syria,叙利亚,Syria,5,0.0,0,0,,,,,,,2020-03-26
59842,Asia,叙利亚,Syria,叙利亚,Syria,4,0.0,0,0,,,,,,,2020-03-25
61594,Asia,叙利亚,Syria,叙利亚,Syria,1,0.0,0,0,,,,,,,2020-03-24
64912,Asia,叙利亚,Syria,叙利亚,Syria,1,0.0,0,0,,,,,,,2020-03-23
