,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
80,North America,古巴,Cuba,古巴,Cuba,1389,0.0,525,56,,,,,,,2020-04-29
996,North America,古巴,Cuba,古巴,Cuba,1389,0.0,525,56,,,,,,,2020-04-28
2429,North America,古巴,Cuba,古巴,Cuba,1337,0.0,0,51,,,,,,,2020-04-27
3408,North America,古巴,Cuba,古巴,Cuba,1285,0.0,0,49,,,,,,,2020-04-26
4707,North America,古巴,Cuba,古巴,Cuba,1235,0.0,0,43,,,,,,,2020-04-25
6360,North America,古巴,Cuba,古巴,Cuba,1189,0.0,0,40,,,,,,,2020-04-24
7949,North America,古巴,Cuba,古巴,Cuba,1137,0.0,0,38,,,,,,,2020-04-23
9153,North America,古巴,Cuba,古巴,Cuba,1087,0.0,0,36,,,,,,,2020-04-22
10800,North America,古巴,Cuba,古巴,Cuba,1035,0.0,0,34,,,,,,,2020-04-21
12554,North America,古巴,Cuba,古巴,Cuba,986,0.0,0,32,,,,,,,2020-04-20
13503,North America,古巴,Cuba,古巴,Cuba,923,0.0,0,31,,,,,,,2020-04-19
14688,North America,古巴,Cuba,古巴,Cuba,862,0.0,0,27,,,,,,,2020-04-18
15799,North America,古巴,Cuba,古巴,Cuba,814,0.0,0,24,,,,,,,2020-04-17
17600,North America,古巴,Cuba,古巴,Cuba,766,0.0,0,21,,,,,,,2020-04-16
19000,North America,古巴,Cuba,古巴,Cuba,726,0.0,0,21,,,,,,,2020-04-15
20496,North America,古巴,Cuba,古巴,Cuba,669,0.0,0,18,,,,,,,2020-04-14
22213,North America,古巴,Cuba,古巴,Cuba,620,0.0,0,16,,,,,,,2020-04-13
23281,North America,古巴,Cuba,古巴,Cuba,564,0.0,0,15,,,,,,,2020-04-12
24782,North America,古巴,Cuba,古巴,Cuba,564,0.0,0,15,,,,,,,2020-04-11
26323,North America,古巴,Cuba,古巴,Cuba,457,0.0,0,12,,,,,,,2020-04-10
27529,North America,古巴,Cuba,古巴,Cuba,396,0.0,0,11,,,,,,,2020-04-09
29220,North America,古巴,Cuba,古巴,Cuba,350,0.0,0,9,,,,,,,2020-04-08
30976,North America,古巴,Cuba,古巴,Cuba,320,0.0,0,8,,,,,,,2020-04-07
32911,North America,古巴,Cuba,古巴,Cuba,288,0.0,0,6,,,,,,,2020-04-06
34647,North America,古巴,Cuba,古巴,Cuba,269,0.0,0,6,,,,,,,2020-04-05
36614,North America,古巴,Cuba,古巴,Cuba,233,0.0,0,6,,,,,,,2020-04-04
38213,North America,古巴,Cuba,古巴,Cuba,212,0.0,0,6,,,,,,,2020-04-03
40311,North America,古巴,Cuba,古巴,Cuba,186,0.0,0,6,,,,,,,2020-04-02
42043,North America,古巴,Cuba,古巴,Cuba,170,0.0,0,4,,,,,,,2020-04-01
44155,North America,古巴,Cuba,古巴,Cuba,119,0.0,0,3,,,,,,,2020-03-31
46086,North America,古巴,Cuba,古巴,Cuba,119,0.0,0,3,,,,,,,2020-03-30
49840,North America,古巴,Cuba,古巴,Cuba,80,0.0,0,2,,,,,,,2020-03-29
51348,North America,古巴,Cuba,古巴,Cuba,67,0.0,0,1,,,,,,,2020-03-28
53337,North America,古巴,Cuba,古巴,Cuba,57,0.0,0,1,,,,,,,2020-03-27
55846,North America,古巴,Cuba,古巴,Cuba,48,0.0,0,1,,,,,,,2020-03-26
60069,North America,古巴,Cuba,古巴,Cuba,40,0.0,0,1,,,,,,,2020-03-25
61525,North America,古巴,Cuba,古巴,Cuba,21,0.0,0,1,,,,,,,2020-03-24
64838,North America,古巴,Cuba,古巴,Cuba,21,0.0,0,1,,,,,,,2020-03-23
67495,North America,古巴,Cuba,古巴,Cuba,21,0.0,0,1,,,,,,,2020-03-22
68926,North America,古巴,Cuba,古巴,Cuba,21,0.0,0,1,,,,,,,2020-03-21
69796,North America,古巴,Cuba,古巴,Cuba,16,0.0,0,1,,,,,,,2020-03-20
71057,North America,古巴,Cuba,古巴,Cuba,11,0.0,0,1,,,,,,,2020-03-19
73406,North America,古巴,Cuba,古巴,Cuba,5,0.0,0,0,,,,,,,2020-03-18
75063,North America,古巴,Cuba,古巴,Cuba,4,0.0,0,0,,,,,,,2020-03-17
77136,North America,古巴,Cuba,古巴,Cuba,4,0.0,0,0,,,,,,,2020-03-16
78232,North America,古巴,Cuba,古巴,Cuba,4,0.0,0,0,,,,,,,2020-03-15
79704,North America,古巴,Cuba,古巴,Cuba,4,0.0,0,0,,,,,,,2020-03-14
80506,North America,古巴,Cuba,古巴,Cuba,4,0.0,0,0,,,,,,,2020-03-13
81164,North America,古巴,Cuba,古巴,Cuba,3,0.0,0,0,,,,,,,2020-03-12
