,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
334,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,111,0.0,0,0,,,,,,,2020-04-01
2251,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,107,0.0,0,0,,,,,,,2020-03-31
4316,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,84,0.0,0,0,,,,,,,2020-03-30
7364,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,84,0.0,0,0,,,,,,,2020-03-29
9445,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,58,0.0,0,0,,,,,,,2020-03-28
11437,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,44,0.0,0,0,,,,,,,2020-03-27
13943,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,42,0.0,0,0,,,,,,,2020-03-26
18184,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,16,0.0,0,0,,,,,,,2020-03-25
19625,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,16,0.0,0,0,,,,,,,2020-03-24
22953,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,16,0.0,0,0,,,,,,,2020-03-23
25621,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,12,0.0,0,0,,,,,,,2020-03-22
27051,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,12,0.0,0,0,,,,,,,2020-03-21
27927,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,6,0.0,0,0,,,,,,,2020-03-20
29193,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,3,0.0,0,0,,,,,,,2020-03-19
31030,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,3,0.0,0,0,,,,,,,2020-03-18
