,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
88,Africa,吉布提,Djibouti,吉布提,Djibouti,30,0.0,0,0,,,,,,,2020-04-01
390,Africa,吉布提,Djibouti,吉布提,Djibouti,25,0.0,0,0,,,,,,,2020-03-31
2179,Africa,吉布提,Djibouti,吉布提,Djibouti,25,0.0,0,0,,,,,,,2020-03-30
5961,Africa,吉布提,Djibouti,吉布提,Djibouti,14,0.0,0,0,,,,,,,2020-03-29
7302,Africa,吉布提,Djibouti,吉布提,Djibouti,14,0.0,0,0,,,,,,,2020-03-28
9458,Africa,吉布提,Djibouti,吉布提,Djibouti,12,0.0,0,0,,,,,,,2020-03-27
11961,Africa,吉布提,Djibouti,吉布提,Djibouti,11,0.0,0,0,,,,,,,2020-03-26
16180,Africa,吉布提,Djibouti,吉布提,Djibouti,11,0.0,0,0,,,,,,,2020-03-25
17646,Africa,吉布提,Djibouti,吉布提,Djibouti,3,0.0,0,0,,,,,,,2020-03-24
21004,Africa,吉布提,Djibouti,吉布提,Djibouti,1,0.0,0,0,,,,,,,2020-03-23
24025,Africa,吉布提,Djibouti,吉布提,Djibouti,1,0.0,0,0,,,,,,,2020-03-22
25096,Africa,吉布提,Djibouti,吉布提,Djibouti,1,0.0,0,0,,,,,,,2020-03-21
25956,Africa,吉布提,Djibouti,吉布提,Djibouti,1,0.0,0,0,,,,,,,2020-03-20
27459,Africa,吉布提,Djibouti,吉布提,Djibouti,1,0.0,0,0,,,,,,,2020-03-19
