,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
11,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,302,0.0,21,1,,,,,,,2020-04-01
214,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,302,0.0,21,1,,,,,,,2020-03-31
2154,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,302,0.0,21,1,,,,,,,2020-03-30
5189,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,271,0.0,16,1,,,,,,,2020-03-29
6974,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,191,0.0,4,1,,,,,,,2020-03-28
9207,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,135,0.0,3,1,,,,,,,2020-03-27
11912,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,97,0.0,2,0,,,,,,,2020-03-26
15966,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,80,0.0,2,0,,,,,,,2020-03-25
17583,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,66,0.0,0,0,,,,,,,2020-03-24
20918,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,60,0.0,0,0,,,,,,,2020-03-23
23575,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,54,0.0,0,0,,,,,,,2020-03-22
25008,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,53,0.0,0,0,,,,,,,2020-03-21
25870,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,49,0.0,0,0,,,,,,,2020-03-20
27128,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,44,0.0,0,0,,,,,,,2020-03-19
29007,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,35,0.0,0,0,,,,,,,2020-03-18
30833,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,32,0.0,0,0,,,,,,,2020-03-17
33226,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,8,0.0,0,0,,,,,,,2020-03-16
34325,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,8,0.0,0,0,,,,,,,2020-03-15
35430,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,6,0.0,0,0,,,,,,,2020-03-14
36323,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,3,0.0,0,0,,,,,,,2020-03-13
