,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
50,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,5949,0.0,1210,269,,,,,,,2020-04-29
1029,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,5597,0.0,1210,253,,,,,,,2020-04-28
2407,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,5142,0.0,85,233,,,,,,,2020-04-27
3517,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,5142,0.0,85,233,,,,,,,2020-04-26
4698,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,4881,0.0,85,225,,,,,,,2020-04-25
6515,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,4356,0.0,85,206,,,,,,,2020-04-24
7798,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,4356,0.0,85,206,,,,,,,2020-04-23
9130,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,3792,0.0,85,179,,,,,,,2020-04-22
10779,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,3621,0.0,85,166,,,,,,,2020-04-21
12230,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,3621,0.0,85,166,,,,,,,2020-04-20
13479,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,3621,0.0,85,166,,,,,,,2020-04-19
14663,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,3105,0.0,85,131,,,,,,,2020-04-18
15781,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,3105,0.0,85,131,,,,,,,2020-04-17
17760,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,3105,0.0,85,131,,,,,,,2020-04-16
18977,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,2979,0.0,85,127,,,,,,,2020-04-15
20635,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,2776,0.0,85,109,,,,,,,2020-04-14
22056,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,2776,0.0,85,109,,,,,,,2020-04-13
23245,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,2709,0.0,85,100,,,,,,,2020-04-12
24618,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,2473,0.0,85,80,,,,,,,2020-04-11
26285,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,2223,0.0,85,69,,,,,,,2020-04-10
27490,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,2054,0.0,85,54,,,,,,,2020-04-09
