,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
8,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,347,0.0,0,2,,,,,,,2020-04-02
301,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,347,0.0,0,2,,,,,,,2020-04-01
2221,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,295,0.0,0,2,,,,,,,2020-03-31
4162,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,295,0.0,0,2,,,,,,,2020-03-30
7230,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,295,0.0,0,2,,,,,,,2020-03-29
8973,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,263,0.0,0,2,,,,,,,2020-03-28
11208,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,231,0.0,0,2,,,,,,,2020-03-27
13811,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,201,0.0,0,2,,,,,,,2020-03-26
17852,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,158,0.0,0,2,,,,,,,2020-03-25
19565,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,158,0.0,0,2,,,,,,,2020-03-24
22902,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,134,0.0,0,2,,,,,,,2020-03-23
25562,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,117,0.0,0,2,,,,,,,2020-03-22
26993,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,113,0.0,0,2,,,,,,,2020-03-21
27863,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,87,0.0,0,1,,,,,,,2020-03-20
29124,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,69,0.0,0,1,,,,,,,2020-03-19
31466,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,50,0.0,0,0,,,,,,,2020-03-18
33124,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,41,0.0,0,0,,,,,,,2020-03-17
35014,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,35,0.0,0,0,,,,,,,2020-03-16
36315,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,22,0.0,0,0,,,,,,,2020-03-15
37787,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,22,0.0,0,0,,,,,,,2020-03-14
38589,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,22,0.0,0,0,,,,,,,2020-03-13
39265,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,22,0.0,0,0,,,,,,,2020-03-12
40319,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,13,0.0,0,0,,,,,,,2020-03-11
41301,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,9,0.0,0,0,,,,,,,2020-03-10
42463,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,9,0.0,0,0,,,,,,,2020-03-09
43780,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,1,0.0,0,0,,,,,,,2020-03-08
44423,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,1,0.0,0,0,,,,,,,2020-03-07
