,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
78,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,1705,0.0,805,58,,,,,,,2020-04-29
931,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,1705,0.0,805,58,,,,,,,2020-04-28
2444,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,1621,0.0,786,56,,,,,,,2020-04-27
3415,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,1621,0.0,786,56,,,,,,,2020-04-26
4714,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,1430,0.0,668,43,,,,,,,2020-04-25
6446,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,1334,0.0,668,43,,,,,,,2020-04-24
7961,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,1163,0.0,305,43,,,,,,,2020-04-23
9162,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,1163,0.0,305,42,,,,,,,2020-04-22
10806,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,1163,0.0,305,42,,,,,,,2020-04-21
12254,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,1016,0.0,305,42,,,,,,,2020-04-20
13514,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,1016,0.0,305,42,,,,,,,2020-04-19
14691,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,1016,0.0,177,22,,,,,,,2020-04-18
15798,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,996,0.0,168,21,,,,,,,2020-04-17
17603,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,855,0.0,130,17,,,,,,,2020-04-16
18930,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,848,0.0,130,17,,,,,,,2020-04-15
20563,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,848,0.0,130,14,,,,,,,2020-04-14
22068,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,848,0.0,98,14,,,,,,,2020-04-13
23132,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,836,0.0,98,12,,,,,,,2020-04-12
24632,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,820,0.0,98,12,,,,,,,2020-04-11
26186,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,803,0.0,61,10,,,,,,,2020-04-10
27516,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,730,0.0,62,10,,,,,,,2020-04-09
29326,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,685,0.0,62,9,,,,,,,2020-04-08
30960,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,685,0.0,62,9,,,,,,,2020-04-07
32947,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,658,0.0,17,9,,,,,,,2020-04-06
34805,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,555,0.0,17,9,,,,,,,2020-04-05
