,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
126,Asia,土耳其,Turkey,土耳其,Turkey,10827,0.0,105,131,,,,,,,2020-03-31
2114,Asia,土耳其,Turkey,土耳其,Turkey,9217,0.0,105,131,,,,,,,2020-03-30
5223,Asia,土耳其,Turkey,土耳其,Turkey,7402,0.0,70,108,,,,,,,2020-03-29
6919,Asia,土耳其,Turkey,土耳其,Turkey,5698,0.0,42,92,,,,,,,2020-03-28
9188,Asia,土耳其,Turkey,土耳其,Turkey,3629,0.0,26,75,,,,,,,2020-03-27
11841,Asia,土耳其,Turkey,土耳其,Turkey,2433,0.0,0,59,,,,,,,2020-03-26
16063,Asia,土耳其,Turkey,土耳其,Turkey,1872,0.0,0,44,,,,,,,2020-03-25
17510,Asia,土耳其,Turkey,土耳其,Turkey,1529,0.0,0,37,,,,,,,2020-03-24
20846,Asia,土耳其,Turkey,土耳其,Turkey,1236,0.0,0,30,,,,,,,2020-03-23
23511,Asia,土耳其,Turkey,土耳其,Turkey,947,0.0,0,21,,,,,,,2020-03-22
24948,Asia,土耳其,Turkey,土耳其,Turkey,670,0.0,0,9,,,,,,,2020-03-21
25819,Asia,土耳其,Turkey,土耳其,Turkey,359,0.0,0,4,,,,,,,2020-03-20
27091,Asia,土耳其,Turkey,土耳其,Turkey,191,0.0,0,2,,,,,,,2020-03-19
29440,Asia,土耳其,Turkey,土耳其,Turkey,98,0.0,0,1,,,,,,,2020-03-18
31110,Asia,土耳其,Turkey,土耳其,Turkey,47,0.0,0,0,,,,,,,2020-03-17
33216,Asia,土耳其,Turkey,土耳其,Turkey,18,0.0,0,0,,,,,,,2020-03-16
34327,Asia,土耳其,Turkey,土耳其,Turkey,6,0.0,0,0,,,,,,,2020-03-15
35508,Asia,土耳其,Turkey,土耳其,Turkey,5,0.0,0,0,,,,,,,2020-03-14
36389,Asia,土耳其,Turkey,土耳其,Turkey,2,0.0,0,0,,,,,,,2020-03-13
37556,Asia,土耳其,Turkey,土耳其,Turkey,1,0.0,0,0,,,,,,,2020-03-12
38650,Asia,土耳其,Turkey,土耳其,Turkey,1,0.0,0,0,,,,,,,2020-03-11
