,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
232,Africa,坦桑尼亚,Tanzania,14,0.0,1,0,2020-03-29
987,Africa,坦桑尼亚,Tanzania,14,0.0,1,0,2020-03-28
3246,Africa,坦桑尼亚,Tanzania,13,0.0,1,0,2020-03-27
5747,Africa,坦桑尼亚,Tanzania,13,0.0,1,0,2020-03-26
9970,Africa,坦桑尼亚,Tanzania,12,0.0,0,0,2020-03-25
11413,Africa,坦桑尼亚,Tanzania,12,0.0,0,0,2020-03-24
14745,Africa,坦桑尼亚,Tanzania,12,0.0,0,0,2020-03-23
17237,Africa,坦桑尼亚,Tanzania,12,0.0,0,0,2020-03-22
18847,Africa,坦桑尼亚,Tanzania,6,0.0,0,0,2020-03-21
19708,Africa,坦桑尼亚,Tanzania,6,0.0,0,0,2020-03-20
20959,Africa,坦桑尼亚,Tanzania,6,0.0,0,0,2020-03-19
22810,Africa,坦桑尼亚,Tanzania,3,0.0,0,0,2020-03-18
24990,Africa,坦桑尼亚,Tanzania,1,0.0,0,0,2020-03-17
