,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
201,Africa,埃及,Egypt,埃及,Egypt,656,0.0,150,41,,,,,,,2020-03-31
2261,Africa,埃及,Egypt,埃及,Egypt,609,0.0,132,40,,,,,,,2020-03-30
5086,Africa,埃及,Egypt,埃及,Egypt,576,0.0,121,36,,,,,,,2020-03-29
7173,Africa,埃及,Egypt,埃及,Egypt,536,0.0,116,30,,,,,,,2020-03-28
9220,Africa,埃及,Egypt,埃及,Egypt,495,0.0,102,24,,,,,,,2020-03-27
11757,Africa,埃及,Egypt,埃及,Egypt,456,0.0,95,21,,,,,,,2020-03-26
15825,Africa,埃及,Egypt,埃及,Egypt,442,0.0,80,21,,,,,,,2020-03-25
17542,Africa,埃及,Egypt,埃及,Egypt,366,0.0,68,19,,,,,,,2020-03-24
20875,Africa,埃及,Egypt,埃及,Egypt,327,0.0,56,14,,,,,,,2020-03-23
23536,Africa,埃及,Egypt,埃及,Egypt,294,0.0,41,10,,,,,,,2020-03-22
24970,Africa,埃及,Egypt,埃及,Egypt,285,0.0,39,8,,,,,,,2020-03-21
25834,Africa,埃及,Egypt,埃及,Egypt,256,0.0,28,6,,,,,,,2020-03-20
27092,Africa,埃及,Egypt,埃及,Egypt,210,0.0,28,6,,,,,,,2020-03-19
29426,Africa,埃及,Egypt,埃及,Egypt,196,0.0,26,4,,,,,,,2020-03-18
31086,Africa,埃及,Egypt,埃及,Egypt,166,0.0,26,2,,,,,,,2020-03-17
33176,Africa,埃及,Egypt,埃及,Egypt,126,0.0,26,2,,,,,,,2020-03-16
34278,Africa,埃及,Egypt,埃及,Egypt,110,0.0,21,2,,,,,,,2020-03-15
35472,Africa,埃及,Egypt,埃及,Egypt,93,0.0,21,2,,,,,,,2020-03-14
36555,Africa,埃及,Egypt,埃及,Egypt,80,0.0,10,2,,,,,,,2020-03-13
37497,Africa,埃及,Egypt,埃及,Egypt,67,0.0,8,1,,,,,,,2020-03-12
38287,Africa,埃及,Egypt,埃及,Egypt,59,0.0,12,1,,,,,,,2020-03-11
39266,Africa,埃及,Egypt,埃及,Egypt,59,0.0,12,0,,,,,,,2020-03-10
40557,Africa,埃及,Egypt,埃及,Egypt,55,0.0,12,0,,,,,,,2020-03-09
41245,Africa,埃及,Egypt,埃及,Egypt,33,0.0,1,0,,,,,,,2020-03-08
42392,Africa,埃及,Egypt,埃及,Egypt,15,0.0,1,0,,,,,,,2020-03-07
45035,Africa,埃及,Egypt,埃及,Egypt,2,0.0,1,0,,,,,,,2020-03-05
46252,Africa,埃及,Egypt,埃及,Egypt,2,0.0,1,0,,,,,,,2020-03-04
47416,Africa,埃及,Egypt,埃及,Egypt,2,0.0,1,0,,,,,,,2020-03-03
48042,Africa,埃及,Egypt,埃及,Egypt,2,0.0,1,0,,,,,,,2020-03-02
49787,Africa,埃及,Egypt,埃及,Egypt,1,0.0,1,0,,,,,,,2020-03-01
50631,Africa,埃及,Egypt,埃及,Egypt,1,0.0,1,0,,,,,,,2020-02-29
52212,Africa,埃及,Egypt,埃及,Egypt,1,0.0,1,0,,,,,,,2020-02-28
54864,Africa,埃及,Egypt,埃及,Egypt,1,0.0,0,0,,,,,,,2020-02-26
64160,Africa,埃及,Egypt,埃及,Egypt,1,0.0,0,0,,,,,,,2020-02-20
69607,Africa,埃及,Egypt,埃及,Egypt,1,0.0,0,0,,,,,,,2020-02-17
70049,Africa,埃及,Egypt,埃及,Egypt,1,0.0,0,0,,,,,,,2020-02-16
71974,Africa,埃及,Egypt,埃及,Egypt,1,0.0,0,0,,,,,,,2020-02-15
