,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
132,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,126,0.0,50,3,,,,,,,2020-04-29
1210,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,123,0.0,29,3,,,,,,,2020-04-28
2503,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,122,0.0,29,3,,,,,,,2020-04-27
3615,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,122,0.0,29,3,,,,,,,2020-04-26
4802,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,122,0.0,29,3,,,,,,,2020-04-25
6607,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,117,0.0,25,3,,,,,,,2020-04-24
7846,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,116,0.0,21,3,,,,,,,2020-04-23
9222,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,116,0.0,21,3,,,,,,,2020-04-22
10855,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,114,0.0,16,3,,,,,,,2020-04-21
12373,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,111,0.0,16,3,,,,,,,2020-04-20
13570,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,108,0.0,16,3,,,,,,,2020-04-19
14585,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,105,0.0,16,3,,,,,,,2020-04-18
16022,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,96,0.0,15,3,,,,,,,2020-04-17
17849,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,92,0.0,15,3,,,,,,,2020-04-16
19196,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,85,0.0,15,3,,,,,,,2020-04-15
20678,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,82,0.0,14,3,,,,,,,2020-04-14
22266,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,74,0.0,14,3,,,,,,,2020-04-13
23339,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,71,0.0,10,3,,,,,,,2020-04-12
24670,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,69,0.0,10,3,,,,,,,2020-04-11
26375,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,65,0.0,4,2,,,,,,,2020-04-10
27444,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,56,0.0,4,2,,,,,,,2020-04-09
