,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
95,Africa,塞内加尔,Senegal,塞内加尔,Senegal,823,0.0,296,9,,,,,,,2020-04-29
1158,Africa,塞内加尔,Senegal,塞内加尔,Senegal,823,0.0,296,9,,,,,,,2020-04-28
2344,Africa,塞内加尔,Senegal,塞内加尔,Senegal,736,0.0,284,9,,,,,,,2020-04-27
3470,Africa,塞内加尔,Senegal,塞内加尔,Senegal,671,0.0,283,8,,,,,,,2020-04-26
4927,Africa,塞内加尔,Senegal,塞内加尔,Senegal,614,0.0,276,7,,,,,,,2020-04-25
6577,Africa,塞内加尔,Senegal,塞内加尔,Senegal,545,0.0,262,6,,,,,,,2020-04-24
7839,Africa,塞内加尔,Senegal,塞内加尔,Senegal,479,0.0,257,6,,,,,,,2020-04-23
9206,Africa,塞内加尔,Senegal,塞内加尔,Senegal,442,0.0,253,6,,,,,,,2020-04-22
10842,Africa,塞内加尔,Senegal,塞内加尔,Senegal,412,0.0,242,5,,,,,,,2020-04-21
12223,Africa,塞内加尔,Senegal,塞内加尔,Senegal,377,0.0,235,5,,,,,,,2020-04-20
13429,Africa,塞内加尔,Senegal,塞内加尔,Senegal,367,0.0,220,3,,,,,,,2020-04-19
14564,Africa,塞内加尔,Senegal,塞内加尔,Senegal,350,0.0,211,3,,,,,,,2020-04-18
15831,Africa,塞内加尔,Senegal,塞内加尔,Senegal,342,0.0,198,2,,,,,,,2020-04-17
17682,Africa,塞内加尔,Senegal,塞内加尔,Senegal,335,0.0,194,2,,,,,,,2020-04-16
19032,Africa,塞内加尔,Senegal,塞内加尔,Senegal,314,0.0,190,2,,,,,,,2020-04-15
20676,Africa,塞内加尔,Senegal,塞内加尔,Senegal,299,0.0,183,2,,,,,,,2020-04-14
22099,Africa,塞内加尔,Senegal,塞内加尔,Senegal,291,0.0,178,2,,,,,,,2020-04-13
23104,Africa,塞内加尔,Senegal,塞内加尔,Senegal,280,0.0,171,2,,,,,,,2020-04-12
24568,Africa,塞内加尔,Senegal,塞内加尔,Senegal,278,0.0,152,2,,,,,,,2020-04-11
26240,Africa,塞内加尔,Senegal,塞内加尔,Senegal,265,0.0,137,2,,,,,,,2020-04-10
27443,Africa,塞内加尔,Senegal,塞内加尔,Senegal,250,0.0,123,2,,,,,,,2020-04-09
29354,Africa,塞内加尔,Senegal,塞内加尔,Senegal,244,0.0,113,2,,,,,,,2020-04-08
31005,Africa,塞内加尔,Senegal,塞内加尔,Senegal,237,0.0,105,2,,,,,,,2020-04-07
32929,Africa,塞内加尔,Senegal,塞内加尔,Senegal,226,0.0,92,2,,,,,,,2020-04-06
34658,Africa,塞内加尔,Senegal,塞内加尔,Senegal,222,0.0,82,2,,,,,,,2020-04-05
36704,Africa,塞内加尔,Senegal,塞内加尔,Senegal,219,0.0,72,2,,,,,,,2020-04-04
38227,Africa,塞内加尔,Senegal,塞内加尔,Senegal,207,0.0,66,1,,,,,,,2020-04-03
40362,Africa,塞内加尔,Senegal,塞内加尔,Senegal,195,0.0,55,1,,,,,,,2020-04-02
41992,Africa,塞内加尔,Senegal,塞内加尔,Senegal,190,0.0,45,1,,,,,,,2020-04-01
44151,Africa,塞内加尔,Senegal,塞内加尔,Senegal,175,0.0,40,0,,,,,,,2020-03-31
46084,Africa,塞内加尔,Senegal,塞内加尔,Senegal,162,0.0,27,0,,,,,,,2020-03-30
49087,Africa,塞内加尔,Senegal,塞内加尔,Senegal,142,0.0,27,0,,,,,,,2020-03-29
50898,Africa,塞内加尔,Senegal,塞内加尔,Senegal,130,0.0,18,0,,,,,,,2020-03-28
53317,Africa,塞内加尔,Senegal,塞内加尔,Senegal,119,0.0,11,0,,,,,,,2020-03-27
55826,Africa,塞内加尔,Senegal,塞内加尔,Senegal,105,0.0,8,0,,,,,,,2020-03-26
60050,Africa,塞内加尔,Senegal,塞内加尔,Senegal,86,0.0,8,0,,,,,,,2020-03-25
