,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
41,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,9055,0.0,1314,184,,,,,,,2020-04-29
961,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,8805,0.0,1314,177,,,,,,,2020-04-28
2399,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,8510,0.0,1314,171,,,,,,,2020-04-27
3510,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,8482,0.0,1314,170,,,,,,,2020-04-26
4769,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,8482,0.0,1314,170,,,,,,,2020-04-25
6429,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,8152,0.0,1253,163,,,,,,,2020-04-24
7791,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,7906,0.0,1201,158,,,,,,,2020-04-23
9118,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,7718,0.0,1153,152,,,,,,,2020-04-22
10769,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,6890,0.0,977,130,,,,,,,2020-04-21
12255,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,6630,0.0,870,129,,,,,,,2020-04-20
13342,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,6318,0.0,753,122,,,,,,,2020-04-19
14549,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,5994,0.0,637,117,,,,,,,2020-04-18
15772,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,5690,0.0,534,110,,,,,,,2020-04-17
17590,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,5318,0.0,443,103,,,,,,,2020-04-16
18970,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,4465,0.0,118,94,,,,,,,2020-04-15
20547,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,4465,0.0,118,94,,,,,,,2020-04-14
22010,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,4054,0.0,118,85,,,,,,,2020-04-13
23120,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,3630,0.0,118,80,,,,,,,2020-04-12
24517,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,3380,0.0,118,74,,,,,,,2020-04-11
26148,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,3105,0.0,118,71,,,,,,,2020-04-10
27336,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,2867,0.0,118,66,,,,,,,2020-04-09
29195,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,2666,0.0,0,65,,,,,,,2020-04-08
30928,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,2200,0.0,0,58,,,,,,,2020-04-07
32859,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,2200,0.0,0,58,,,,,,,2020-04-06
34600,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,1980,0.0,0,51,,,,,,,2020-04-05
