,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
390,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,10,0.0,0,0,,,,,,,2020-04-01
4373,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,7,0.0,0,0,,,,,,,2020-03-30
9662,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,7,0.0,0,0,,,,,,,2020-03-28
11476,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,7,0.0,0,0,,,,,,,2020-03-27
15155,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,7,0.0,0,0,,,,,,,2020-03-26
18198,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,7,0.0,0,0,,,,,,,2020-03-25
19638,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,7,0.0,0,0,,,,,,,2020-03-24
22970,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,7,0.0,0,0,,,,,,,2020-03-23
25627,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,6,0.0,0,0,,,,,,,2020-03-22
27063,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,6,0.0,0,0,,,,,,,2020-03-21
27925,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,6,0.0,0,0,,,,,,,2020-03-20
29184,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,4,0.0,0,0,,,,,,,2020-03-19
31519,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,4,0.0,0,0,,,,,,,2020-03-18
32915,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,4,0.0,0,0,,,,,,,2020-03-17
35263,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,2,0.0,0,0,,,,,,,2020-03-16
36358,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,2,0.0,0,0,,,,,,,2020-03-15
