,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
31,North America,墨西哥,Mexico,墨西哥,Mexico,16752,0.0,2627,1569,,,,,,,2020-04-29
876,North America,墨西哥,Mexico,墨西哥,Mexico,15529,0.0,2627,1434,,,,,,,2020-04-28
2386,North America,墨西哥,Mexico,墨西哥,Mexico,14667,0.0,1,1351,,,,,,,2020-04-27
3497,North America,墨西哥,Mexico,墨西哥,Mexico,13842,0.0,1,1305,,,,,,,2020-04-26
4686,North America,墨西哥,Mexico,墨西哥,Mexico,12872,0.0,1,1221,,,,,,,2020-04-25
6492,North America,墨西哥,Mexico,墨西哥,Mexico,11633,0.0,1,1069,,,,,,,2020-04-24
7781,North America,墨西哥,Mexico,墨西哥,Mexico,10544,0.0,1,970,,,,,,,2020-04-23
9110,North America,墨西哥,Mexico,墨西哥,Mexico,9501,0.0,1,857,,,,,,,2020-04-22
10746,North America,墨西哥,Mexico,墨西哥,Mexico,8772,0.0,1,712,,,,,,,2020-04-21
12510,North America,墨西哥,Mexico,墨西哥,Mexico,8261,0.0,1,686,,,,,,,2020-04-20
13460,North America,墨西哥,Mexico,墨西哥,Mexico,7497,0.0,1,650,,,,,,,2020-04-19
14643,North America,墨西哥,Mexico,墨西哥,Mexico,6875,0.0,1,546,,,,,,,2020-04-18
15912,North America,墨西哥,Mexico,墨西哥,Mexico,6297,0.0,1,486,,,,,,,2020-04-17
17743,North America,墨西哥,Mexico,墨西哥,Mexico,5847,0.0,1,449,,,,,,,2020-04-16
18966,North America,墨西哥,Mexico,墨西哥,Mexico,5399,0.0,1,406,,,,,,,2020-04-15
20555,North America,墨西哥,Mexico,墨西哥,Mexico,5014,0.0,1,332,,,,,,,2020-04-14
22104,North America,墨西哥,Mexico,墨西哥,Mexico,4661,0.0,1,296,,,,,,,2020-04-13
23117,North America,墨西哥,Mexico,墨西哥,Mexico,4219,0.0,1,273,,,,,,,2020-04-12
24548,North America,墨西哥,Mexico,墨西哥,Mexico,3844,0.0,1,233,,,,,,,2020-04-11
26202,North America,墨西哥,Mexico,墨西哥,Mexico,3441,0.0,1,194,,,,,,,2020-04-10
27479,North America,墨西哥,Mexico,墨西哥,Mexico,3181,0.0,1,174,,,,,,,2020-04-09
29293,North America,墨西哥,Mexico,墨西哥,Mexico,2785,0.0,1,141,,,,,,,2020-04-08
30927,North America,墨西哥,Mexico,墨西哥,Mexico,2439,0.0,1,125,,,,,,,2020-04-07
32886,North America,墨西哥,Mexico,墨西哥,Mexico,2143,0.0,1,94,,,,,,,2020-04-06
