,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
181,Africa,多哥,Togo,多哥,Togo,36,0.0,10,2,,,,,,,2020-04-01
2401,Africa,多哥,Togo,多哥,Togo,34,0.0,10,1,,,,,,,2020-03-31
4347,Africa,多哥,Togo,多哥,Togo,30,0.0,7,1,,,,,,,2020-03-30
7965,Africa,多哥,Togo,多哥,Togo,25,0.0,1,1,,,,,,,2020-03-29
9001,Africa,多哥,Togo,多哥,Togo,24,0.0,1,1,,,,,,,2020-03-28
11453,Africa,多哥,Togo,多哥,Togo,23,0.0,1,0,,,,,,,2020-03-27
13960,Africa,多哥,Togo,多哥,Togo,20,0.0,1,0,,,,,,,2020-03-26
18181,Africa,多哥,Togo,多哥,Togo,18,0.0,1,0,,,,,,,2020-03-25
19626,Africa,多哥,Togo,多哥,Togo,16,0.0,1,0,,,,,,,2020-03-24
22954,Africa,多哥,Togo,多哥,Togo,16,0.0,1,0,,,,,,,2020-03-23
25613,Africa,多哥,Togo,多哥,Togo,16,0.0,1,0,,,,,,,2020-03-22
26870,Africa,多哥,Togo,多哥,Togo,16,0.0,1,0,,,,,,,2020-03-21
27918,Africa,多哥,Togo,多哥,Togo,9,0.0,1,0,,,,,,,2020-03-20
29206,Africa,多哥,Togo,多哥,Togo,1,0.0,0,0,,,,,,,2020-03-19
31542,Africa,多哥,Togo,多哥,Togo,1,0.0,0,0,,,,,,,2020-03-18
33190,Africa,多哥,Togo,多哥,Togo,1,0.0,0,0,,,,,,,2020-03-17
35269,Africa,多哥,Togo,多哥,Togo,1,0.0,0,0,,,,,,,2020-03-16
36364,Africa,多哥,Togo,多哥,Togo,1,0.0,0,0,,,,,,,2020-03-15
39884,Africa,多哥,Togo,多哥,Togo,1,0.0,0,0,,,,,,,2020-03-12
40653,Africa,多哥,Togo,多哥,Togo,1,0.0,0,0,,,,,,,2020-03-11
41342,Africa,多哥,Togo,多哥,Togo,1,0.0,0,0,,,,,,,2020-03-10
42900,Africa,多哥,Togo,多哥,Togo,1,0.0,0,0,,,,,,,2020-03-09
43782,Africa,多哥,Togo,多哥,Togo,1,0.0,0,0,,,,,,,2020-03-08
44425,Africa,多哥,Togo,多哥,Togo,1,0.0,0,0,,,,,,,2020-03-07
