,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
8067,North America,多米尼克,,多米尼克,,16,0.0,0,0,,,,,,,2020-04-23
10701,North America,多米尼克,,多米尼克,,16,0.0,0,0,,,,,,,2020-04-22
11873,North America,多米尼克,,多米尼克,,16,0.0,0,0,,,,,,,2020-04-21
12664,North America,多米尼克,,多米尼克,,16,0.0,0,0,,,,,,,2020-04-20
16384,North America,多米尼克,,多米尼克,,16,0.0,0,0,,,,,,,2020-04-17
20235,North America,多米尼克,,多米尼克,,16,0.0,0,0,,,,,,,2020-04-15
20993,North America,多米尼克,,多米尼克,,16,0.0,0,0,,,,,,,2020-04-14
22680,North America,多米尼克,,多米尼克,,16,0.0,0,0,,,,,,,2020-04-13
23367,North America,多米尼克,,多米尼克,,16,0.0,0,0,,,,,,,2020-04-12
26647,North America,多米尼克,,多米尼克,,15,0.0,0,0,,,,,,,2020-04-10
27611,North America,多米尼克,,多米尼克,,15,0.0,0,0,,,,,,,2020-04-09
29536,North America,多米尼克,,多米尼克,,14,0.0,0,0,,,,,,,2020-04-08
35033,North America,多米尼克,,多米尼克,,11,0.0,0,0,,,,,,,2020-04-05
40961,North America,多米尼克,,多米尼克,,11,0.0,0,0,,,,,,,2020-04-02
42294,North America,多米尼克,,多米尼克,,11,0.0,0,0,,,,,,,2020-04-01
44325,North America,多米尼克,,多米尼克,,11,0.0,0,0,,,,,,,2020-03-31
46268,North America,多米尼克,,多米尼克,,11,0.0,0,0,,,,,,,2020-03-30
49885,North America,多米尼克,,多米尼克,,11,0.0,0,0,,,,,,,2020-03-29
51371,North America,多米尼克,,多米尼克,,11,0.0,0,0,,,,,,,2020-03-28
53385,North America,多米尼克,,多米尼克,,7,0.0,0,0,,,,,,,2020-03-27
55905,North America,多米尼克,,多米尼克,,2,0.0,0,0,,,,,,,2020-03-26
60150,North America,多米尼克,,多米尼克,,1,0.0,0,0,,,,,,,2020-03-25
