,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
2,Europe,奥地利,Austria,奥地利,Austria,10482,0.0,1436,146,,,,,,,2020-04-02
241,Europe,奥地利,Austria,奥地利,Austria,9971,0.0,1095,128,,,,,,,2020-04-01
2159,Europe,奥地利,Austria,奥地利,Austria,9377,0.0,646,108,,,,,,,2020-03-31
4124,Europe,奥地利,Austria,奥地利,Austria,8536,0.0,225,68,,,,,,,2020-03-30
7278,Europe,奥地利,Austria,奥地利,Austria,7697,0.0,225,68,,,,,,,2020-03-29
8926,Europe,奥地利,Austria,奥地利,Austria,7697,0.0,225,58,,,,,,,2020-03-28
11220,Europe,奥地利,Austria,奥地利,Austria,6398,0.0,9,49,,,,,,,2020-03-27
13813,Europe,奥地利,Austria,奥地利,Austria,5560,0.0,9,30,,,,,,,2020-03-26
17873,Europe,奥地利,Austria,奥地利,Austria,4876,0.0,9,28,,,,,,,2020-03-25
19510,Europe,奥地利,Austria,奥地利,Austria,3924,0.0,9,21,,,,,,,2020-03-24
22845,Europe,奥地利,Austria,奥地利,Austria,3611,0.0,9,16,,,,,,,2020-03-23
25510,Europe,奥地利,Austria,奥地利,Austria,2649,0.0,9,7,,,,,,,2020-03-22
26943,Europe,奥地利,Austria,奥地利,Austria,2388,0.0,9,7,,,,,,,2020-03-21
27810,Europe,奥地利,Austria,奥地利,Austria,2013,0.0,9,4,,,,,,,2020-03-20
29069,Europe,奥地利,Austria,奥地利,Austria,1646,0.0,9,4,,,,,,,2020-03-19
30974,Europe,奥地利,Austria,奥地利,Austria,1332,0.0,6,3,,,,,,,2020-03-18
33071,Europe,奥地利,Austria,奥地利,Austria,1016,0.0,6,3,,,,,,,2020-03-17
35159,Europe,奥地利,Austria,奥地利,Austria,860,0.0,6,1,,,,,,,2020-03-16
36260,Europe,奥地利,Austria,奥地利,Austria,655,0.0,6,1,,,,,,,2020-03-15
37465,Europe,奥地利,Austria,奥地利,Austria,504,0.0,6,1,,,,,,,2020-03-14
38546,Europe,奥地利,Austria,奥地利,Austria,361,0.0,4,1,,,,,,,2020-03-13
39490,Europe,奥地利,Austria,奥地利,Austria,246,0.0,2,0,,,,,,,2020-03-12
40286,Europe,奥地利,Austria,奥地利,Austria,182,0.0,2,0,,,,,,,2020-03-11
41238,Europe,奥地利,Austria,奥地利,Austria,157,0.0,2,0,,,,,,,2020-03-10
42561,Europe,奥地利,Austria,奥地利,Austria,102,0.0,0,0,,,,,,,2020-03-09
43320,Europe,奥地利,Austria,奥地利,Austria,79,0.0,0,0,,,,,,,2020-03-08
44382,Europe,奥地利,Austria,奥地利,Austria,55,0.0,0,0,,,,,,,2020-03-07
45345,Europe,奥地利,Austria,奥地利,Austria,41,0.0,0,0,,,,,,,2020-03-06
46891,Europe,奥地利,Austria,奥地利,Austria,24,0.0,0,0,,,,,,,2020-03-05
47660,Europe,奥地利,Austria,奥地利,Austria,24,0.0,0,0,,,,,,,2020-03-04
49400,Europe,奥地利,Austria,奥地利,Austria,14,0.0,0,0,,,,,,,2020-03-03
50040,Europe,奥地利,Austria,奥地利,Austria,14,0.0,0,0,,,,,,,2020-03-02
51757,Europe,奥地利,Austria,奥地利,Austria,10,0.0,0,0,,,,,,,2020-03-01
52609,Europe,奥地利,Austria,奥地利,Austria,5,0.0,0,0,,,,,,,2020-02-29
53462,Europe,奥地利,Austria,奥地利,Austria,5,0.0,0,0,,,,,,,2020-02-28
54706,Europe,奥地利,Austria,奥地利,Austria,3,0.0,0,0,,,,,,,2020-02-27
56651,Europe,奥地利,Austria,奥地利,Austria,2,0.0,0,0,,,,,,,2020-02-26
