,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
396,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,51,0.0,25,5,,,,,,,2020-03-31
2335,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,49,0.0,19,5,,,,,,,2020-03-30
5945,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,48,0.0,11,5,,,,,,,2020-03-29
7445,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,48,0.0,11,5,,,,,,,2020-03-28
9433,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,48,0.0,11,5,,,,,,,2020-03-27
11941,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,44,0.0,11,5,,,,,,,2020-03-26
16162,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,33,0.0,5,3,,,,,,,2020-03-25
17601,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,33,0.0,5,2,,,,,,,2020-03-24
20937,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,27,0.0,5,2,,,,,,,2020-03-23
23444,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,27,0.0,5,2,,,,,,,2020-03-22
25027,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,24,0.0,3,2,,,,,,,2020-03-21
25894,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,20,0.0,3,1,,,,,,,2020-03-20
27151,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,17,0.0,3,1,,,,,,,2020-03-19
29012,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,14,0.0,3,1,,,,,,,2020-03-18
31153,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,8,0.0,0,0,,,,,,,2020-03-17
33230,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,5,0.0,0,0,,,,,,,2020-03-16
34336,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,3,0.0,0,0,,,,,,,2020-03-15
35808,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,3,0.0,0,0,,,,,,,2020-03-14
36610,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,3,0.0,0,0,,,,,,,2020-03-13
37547,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,3,0.0,0,0,,,,,,,2020-03-12
38633,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,3,0.0,0,0,,,,,,,2020-03-11
39311,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,3,0.0,0,0,,,,,,,2020-03-10
