,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
410,Africa,安哥拉,Angola,安哥拉,Angola,7,0.0,0,2,,,,,,,2020-04-01
2436,Africa,安哥拉,Angola,安哥拉,Angola,7,0.0,0,2,,,,,,,2020-03-31
4384,Africa,安哥拉,Angola,安哥拉,Angola,7,0.0,0,2,,,,,,,2020-03-30
8002,Africa,安哥拉,Angola,安哥拉,Angola,5,0.0,0,0,,,,,,,2020-03-29
9476,Africa,安哥拉,Angola,安哥拉,Angola,4,0.0,0,0,,,,,,,2020-03-28
11495,Africa,安哥拉,Angola,安哥拉,Angola,4,0.0,0,0,,,,,,,2020-03-27
15181,Africa,安哥拉,Angola,安哥拉,Angola,3,0.0,0,0,,,,,,,2020-03-26
18221,Africa,安哥拉,Angola,安哥拉,Angola,3,0.0,0,0,,,,,,,2020-03-25
19656,Africa,安哥拉,Angola,安哥拉,Angola,3,0.0,0,0,,,,,,,2020-03-24
23002,Africa,安哥拉,Angola,安哥拉,Angola,2,0.0,0,0,,,,,,,2020-03-23
25650,Africa,安哥拉,Angola,安哥拉,Angola,2,0.0,0,0,,,,,,,2020-03-22
27093,Africa,安哥拉,Angola,安哥拉,Angola,2,0.0,0,0,,,,,,,2020-03-21
