,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
6,Europe,安道尔,Andorra,安道尔,Andorra,370,0.0,10,8,,,,,,,2020-04-01
206,Europe,安道尔,Andorra,安道尔,Andorra,370,0.0,10,8,,,,,,,2020-03-31
2150,Europe,安道尔,Andorra,安道尔,Andorra,334,0.0,6,6,,,,,,,2020-03-30
5205,Europe,安道尔,Andorra,安道尔,Andorra,334,0.0,6,6,,,,,,,2020-03-29
6965,Europe,安道尔,Andorra,安道尔,Andorra,263,0.0,1,3,,,,,,,2020-03-28
9195,Europe,安道尔,Andorra,安道尔,Andorra,263,0.0,1,3,,,,,,,2020-03-27
11799,Europe,安道尔,Andorra,安道尔,Andorra,220,0.0,1,1,,,,,,,2020-03-26
15840,Europe,安道尔,Andorra,安道尔,Andorra,185,0.0,1,1,,,,,,,2020-03-25
17552,Europe,安道尔,Andorra,安道尔,Andorra,164,0.0,1,1,,,,,,,2020-03-24
20894,Europe,安道尔,Andorra,安道尔,Andorra,133,0.0,1,1,,,,,,,2020-03-23
23438,Europe,安道尔,Andorra,安道尔,Andorra,114,0.0,1,1,,,,,,,2020-03-22
24990,Europe,安道尔,Andorra,安道尔,Andorra,88,0.0,1,0,,,,,,,2020-03-21
25858,Europe,安道尔,Andorra,安道尔,Andorra,75,0.0,1,0,,,,,,,2020-03-20
27124,Europe,安道尔,Andorra,安道尔,Andorra,54,0.0,1,0,,,,,,,2020-03-19
28953,Europe,安道尔,Andorra,安道尔,Andorra,40,0.0,1,0,,,,,,,2020-03-18
31141,Europe,安道尔,Andorra,安道尔,Andorra,15,0.0,1,0,,,,,,,2020-03-17
33256,Europe,安道尔,Andorra,安道尔,Andorra,2,0.0,1,0,,,,,,,2020-03-16
34351,Europe,安道尔,Andorra,安道尔,Andorra,2,0.0,1,0,,,,,,,2020-03-15
35820,Europe,安道尔,Andorra,安道尔,Andorra,2,0.0,1,0,,,,,,,2020-03-14
36621,Europe,安道尔,Andorra,安道尔,Andorra,2,0.0,1,0,,,,,,,2020-03-13
37869,Europe,安道尔,Andorra,安道尔,Andorra,1,0.0,0,0,,,,,,,2020-03-12
39325,Europe,安道尔,Andorra,安道尔,Andorra,1,0.0,0,0,,,,,,,2020-03-10
45047,Europe,安道尔,Andorra,安道尔,Andorra,1,0.0,0,0,,,,,,,2020-03-05
46255,Europe,安道尔,Andorra,安道尔,Andorra,1,0.0,0,0,,,,,,,2020-03-04
47059,Europe,安道尔,Andorra,安道尔,Andorra,1,0.0,0,0,,,,,,,2020-03-03
47891,Europe,安道尔,Andorra,安道尔,Andorra,1,0.0,0,0,,,,,,,2020-03-02
