,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
71,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,1532,0.0,255,44,,,,,,,2020-04-29
990,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,1337,0.0,255,40,,,,,,,2020-04-28
2435,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,1273,0.0,239,40,,,,,,,2020-04-27
3550,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,1095,0.0,208,32,,,,,,,2020-04-26
4712,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,1095,0.0,208,32,,,,,,,2020-04-25
6548,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,981,0.0,197,31,,,,,,,2020-04-24
7819,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,873,0.0,197,28,,,,,,,2020-04-23
9171,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,782,0.0,197,25,,,,,,,2020-04-22
10886,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,665,0.0,188,22,,,,,,,2020-04-21
12350,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,627,0.0,170,21,,,,,,,2020-04-20
13425,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,542,0.0,166,19,,,,,,,2020-04-19
14559,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,493,0.0,159,17,,,,,,,2020-04-18
15816,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,442,0.0,152,13,,,,,,,2020-04-17
17813,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,407,0.0,128,12,,,,,,,2020-04-16
19019,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,362,0.0,99,11,,,,,,,2020-04-15
20669,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,343,0.0,91,10,,,,,,,2020-04-14
22025,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,323,0.0,85,10,,,,,,,2020-04-13
23301,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,318,0.0,70,10,,,,,,,2020-04-12
24535,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,305,0.0,58,7,,,,,,,2020-04-11
26155,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,288,0.0,51,7,,,,,,,2020-04-10
27370,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,276,0.0,44,6,,,,,,,2020-04-09
29185,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,254,0.0,44,6,,,,,,,2020-04-08
30991,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,238,0.0,35,5,,,,,,,2020-04-07
32866,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,232,0.0,33,5,,,,,,,2020-04-06
34655,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,214,0.0,25,4,,,,,,,2020-04-05
36615,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,210,0.0,25,4,,,,,,,2020-04-04
38060,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,190,0.0,20,2,,,,,,,2020-04-03
40313,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,174,0.0,9,2,,,,,,,2020-04-02
41957,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,151,0.0,9,2,,,,,,,2020-04-01
44154,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,131,0.0,8,2,,,,,,,2020-03-31
46089,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,111,0.0,3,1,,,,,,,2020-03-30
49267,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,97,0.0,3,1,,,,,,,2020-03-29
51108,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,81,0.0,3,1,,,,,,,2020-03-28
53335,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,65,0.0,2,1,,,,,,,2020-03-27
55844,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,51,0.0,2,1,,,,,,,2020-03-26
60067,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,44,0.0,2,1,,,,,,,2020-03-25
