,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
365,Africa,尼日尔,Niger,尼日尔,Niger,34,0.0,0,3,,,,,,,2020-04-01
2408,Africa,尼日尔,Niger,尼日尔,Niger,20,0.0,0,3,,,,,,,2020-03-31
4366,Africa,尼日尔,Niger,尼日尔,Niger,10,0.0,0,1,,,,,,,2020-03-30
7980,Africa,尼日尔,Niger,尼日尔,Niger,10,0.0,0,1,,,,,,,2020-03-29
9467,Africa,尼日尔,Niger,尼日尔,Niger,10,0.0,0,1,,,,,,,2020-03-28
11474,Africa,尼日尔,Niger,尼日尔,Niger,8,0.0,0,1,,,,,,,2020-03-27
13975,Africa,尼日尔,Niger,尼日尔,Niger,7,0.0,0,0,,,,,,,2020-03-26
18199,Africa,尼日尔,Niger,尼日尔,Niger,7,0.0,0,0,,,,,,,2020-03-25
19668,Africa,尼日尔,Niger,尼日尔,Niger,2,0.0,0,0,,,,,,,2020-03-24
22999,Africa,尼日尔,Niger,尼日尔,Niger,2,0.0,0,0,,,,,,,2020-03-23
25457,Africa,尼日尔,Niger,尼日尔,Niger,2,0.0,0,0,,,,,,,2020-03-22
27107,Africa,尼日尔,Niger,尼日尔,Niger,1,0.0,0,0,,,,,,,2020-03-21
27967,Africa,尼日尔,Niger,尼日尔,Niger,1,0.0,0,0,,,,,,,2020-03-20
