,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
141,Asia,尼泊尔,Nepal,尼泊尔,Nepal,52,0.0,12,0,,,,,,,2020-04-29
1229,Asia,尼泊尔,Nepal,尼泊尔,Nepal,51,0.0,12,0,,,,,,,2020-04-28
2518,Asia,尼泊尔,Nepal,尼泊尔,Nepal,51,0.0,12,0,,,,,,,2020-04-27
3631,Asia,尼泊尔,Nepal,尼泊尔,Nepal,51,0.0,12,0,,,,,,,2020-04-26
4985,Asia,尼泊尔,Nepal,尼泊尔,Nepal,48,0.0,2,0,,,,,,,2020-04-25
6620,Asia,尼泊尔,Nepal,尼泊尔,Nepal,45,0.0,2,0,,,,,,,2020-04-24
8043,Asia,尼泊尔,Nepal,尼泊尔,Nepal,42,0.0,2,0,,,,,,,2020-04-23
9248,Asia,尼泊尔,Nepal,尼泊尔,Nepal,32,0.0,2,0,,,,,,,2020-04-22
10903,Asia,尼泊尔,Nepal,尼泊尔,Nepal,32,0.0,2,0,,,,,,,2020-04-21
12650,Asia,尼泊尔,Nepal,尼泊尔,Nepal,31,0.0,2,0,,,,,,,2020-04-20
13585,Asia,尼泊尔,Nepal,尼泊尔,Nepal,31,0.0,2,0,,,,,,,2020-04-19
14771,Asia,尼泊尔,Nepal,尼泊尔,Nepal,30,0.0,1,0,,,,,,,2020-04-18
15848,Asia,尼泊尔,Nepal,尼泊尔,Nepal,30,0.0,1,0,,,,,,,2020-04-17
17880,Asia,尼泊尔,Nepal,尼泊尔,Nepal,16,0.0,1,0,,,,,,,2020-04-16
19219,Asia,尼泊尔,Nepal,尼泊尔,Nepal,16,0.0,1,0,,,,,,,2020-04-15
20681,Asia,尼泊尔,Nepal,尼泊尔,Nepal,16,0.0,1,0,,,,,,,2020-04-14
22123,Asia,尼泊尔,Nepal,尼泊尔,Nepal,14,0.0,1,0,,,,,,,2020-04-13
23380,Asia,尼泊尔,Nepal,尼泊尔,Nepal,12,0.0,1,0,,,,,,,2020-04-12
26666,Asia,尼泊尔,Nepal,尼泊尔,Nepal,9,0.0,1,0,,,,,,,2020-04-10
27909,Asia,尼泊尔,Nepal,尼泊尔,Nepal,9,0.0,1,0,,,,,,,2020-04-09
29552,Asia,尼泊尔,Nepal,尼泊尔,Nepal,9,0.0,1,0,,,,,,,2020-04-08
31325,Asia,尼泊尔,Nepal,尼泊尔,Nepal,9,0.0,1,0,,,,,,,2020-04-07
33544,Asia,尼泊尔,Nepal,尼泊尔,Nepal,9,0.0,1,0,,,,,,,2020-04-06
35044,Asia,尼泊尔,Nepal,尼泊尔,Nepal,9,0.0,1,0,,,,,,,2020-04-05
36812,Asia,尼泊尔,Nepal,尼泊尔,Nepal,9,0.0,1,0,,,,,,,2020-04-04
38305,Asia,尼泊尔,Nepal,尼泊尔,Nepal,6,0.0,1,0,,,,,,,2020-04-03
